arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
mmpose,1012,Lifting,0-2-4-6,7,1771,5,0.9963,14.247,11.306,29,30.42,73.84,10.888,4.55,26.57,80.6,ok
mmpose,1012,Polishing,0-2-4-6,7,1889,6,0.9297,15.083,11.918,29,18.06,86.7,20.554,3.66,5.2,147.3,ok
mmpose,1012,RobotPolishing,0-2-4-6,7,2795,4,0.8945,12.514,10.13,29,108.35,84.65,24.722,4.0,25.35,83.1,ok
mmpose,1012,RobotWelding,0-2-4-6,7,1976,4,0.9072,13.637,10.963,29,127.26,84.25,24.158,4.5,5.25,125.0,ok
mmpose,1012,Screwing,0-2-4-6,7,2808,7,0.7566,16.008,11.029,29,46.24,93.39,17.058,3.64,26.75,82.7,ok
mmpose,1012,SideOverhead,0-2-4-6,7,3992,4,0.9385,18.031,12.732,29,47.7,77.32,10.725,4.99,34.31,64.5,ok
mmpose,1118,Lifting,0-2-4-6,7,914,4,0.99,13.588,10.585,29,74.12,83.9,14.788,4.64,7.01,102.0,ok
mmpose,1118,Polishing,0-2-4-6,7,2969,6,0.828,14.453,9.939,29,83.57,99.33,13.821,4.26,11.4,108.9,ok
mmpose,1118,RobotPolishing,0-2-4-6,7,3057,5,0.8083,13.044,8.061,29,38.96,106.4,11.265,4.3,25.43,88.3,ok
mmpose,1118,RobotWelding,0-2-4-6,7,2114,5,0.8386,13.614,8.837,29,42.43,104.79,10.796,4.17,23.11,86.3,ok
mmpose,1118,Screwing,0-2-4-6,7,2491,4,0.9156,14.799,9.492,29,118.34,116.26,11.446,3.98,26.45,86.8,ok
mmpose,1118,SideOverhead,0-2-4-6,7,2952,5,0.8619,16.253,12.033,29,38.98,78.25,12.216,4.2,26.49,88.3,ok
mmpose,1508,Lifting,0-2-4-6,7,1640,5,0.9961,14.142,11.855,29,74.95,64.76,14.094,4.83,5.61,125.4,ok
mmpose,1508,Polishing,0-2-4-6,7,2034,5,0.7914,13.164,10.171,29,98.82,67.53,15.139,4.43,25.98,77.4,ok
mmpose,1508,RobotPolishing,0-2-4-6,7,3128,4,0.9414,11.561,8.537,29,79.76,71.72,10.052,4.49,21.09,77.7,ok
mmpose,1508,RobotWelding,0-2-4-6,7,3025,3,0.9814,12.233,9.682,29,77.98,68.56,13.329,4.57,6.7,117.7,ok
mmpose,1508,Screwing,0-2-4-6,7,2352,7,0.8334,14.518,11.314,29,85.32,73.01,13.671,4.13,25.83,83.1,ok
mmpose,1508,SideOverhead,0-2-4-6,7,3063,5,0.8401,16.131,13.098,29,38.54,89.42,9.468,4.58,26.08,84.9,ok
mmpose,1602,Lifting,0-2-4-6,7,1410,5,0.9663,13.759,11.154,29,55.61,78.17,17.216,4.04,20.21,92.1,ok
mmpose,1602,Polishing,0-2-4-6,7,1916,6,0.8679,17.928,13.03,29,46.87,85.6,17.116,4.25,5.8,139.8,ok
mmpose,1602,RobotPolishing,0-2-4-6,7,3858,4,0.8129,13.417,9.271,29,45.58,90.6,22.923,4.62,27.31,84.9,ok
mmpose,1602,RobotWelding,0-2-4-6,7,2278,6,0.8822,12.419,8.408,29,59.78,93.96,17.251,4.7,30.15,78.3,ok
