arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
mmpose,1012,Lifting,0-2,7,1771,5,0.9934,14.808,12.982,29,26.69,90.85,8.731,4.35,25.11,86.6,ok
mmpose,1012,Polishing,0-2,7,1889,4,0.9574,16.994,11.875,29,59.1,84.33,19.35,4.18,25.24,90.1,ok
mmpose,1012,RobotPolishing,0-2,7,2795,4,0.8969,13.983,9.261,29,40.94,78.5,6.696,4.56,5.64,129.6,ok
mmpose,1012,RobotWelding,0-2,7,1976,5,0.9405,14.982,10.108,29,139.38,75.74,17.806,4.12,27.25,70.9,ok
mmpose,1012,Screwing,0-2,7,2808,6,0.8454,17.731,12.761,29,166.4,81.44,22.567,3.78,22.45,81.9,ok
mmpose,1012,SideOverhead,0-2,7,3992,4,0.8718,17.298,12.365,29,54.15,90.67,9.944,4.9,26.34,83.2,ok
mmpose,1118,Lifting,0-2,7,914,4,0.9939,12.551,9.302,29,37.18,121.2,8.46,4.57,5.44,121.7,ok
mmpose,1118,Polishing,0-2,7,2969,5,0.9031,17.363,12.308,29,86.16,137.64,16.849,4.37,22.44,84.2,ok
mmpose,1118,RobotPolishing,0-2,7,3057,5,0.8802,15.154,10.492,29,22.02,117.28,7.129,4.41,25.51,81.4,ok
mmpose,1118,RobotWelding,0-2,7,2114,5,0.8539,14.853,10.436,29,57.2,117.41,11.286,4.69,30.29,67.4,ok
mmpose,1118,Screwing,0-2,7,2491,4,0.7258,15.746,9.66,29,235.08,133.28,22.776,4.89,27.32,84.0,ok
mmpose,1118,SideOverhead,0-2,7,2952,5,0.8458,17.777,13.158,29,67.35,108.17,8.841,4.76,21.37,96.9,ok
mmpose,1508,Lifting,0-2,7,1640,5,0.9965,14.05,12.498,29,62.29,90.24,11.302,4.36,26.65,82.6,ok
mmpose,1508,Polishing,0-2,7,2034,5,0.7809,14.261,10.945,29,107.89,89.8,17.752,5.03,27.4,80.0,ok
mmpose,1508,RobotPolishing,0-2,7,3128,6,0.9698,12.217,9.189,29,25.24,83.59,14.283,4.36,27.27,83.5,ok
mmpose,1508,RobotWelding,0-2,7,3025,5,0.9801,11.868,9.4,29,31.65,81.04,13.517,4.44,26.35,86.4,ok
mmpose,1508,Screwing,0-2,7,2352,5,0.7983,14.366,10.568,29,137.51,89.0,27.284,4.58,7.07,112.5,ok
mmpose,1508,SideOverhead,0-2,7,3063,5,0.8507,17.23,12.376,29,51.76,96.84,10.505,5.09,26.34,81.6,ok
mmpose,1602,Lifting,0-2,7,1410,5,0.9775,12.407,9.747,29,52.66,77.64,10.348,4.45,26.91,71.2,ok
mmpose,1602,Polishing,0-2,7,1916,5,0.937,17.098,12.476,29,28.68,91.48,16.603,4.4,27.29,79.0,ok
mmpose,1602,RobotPolishing,0-2,7,3858,6,0.9142,15.693,10.754,29,41.63,84.47,11.613,4.56,13.74,102.2,ok
mmpose,1602,RobotWelding,0-2,7,2278,6,0.8797,13.25,9.626,29,54.86,82.78,9.285,4.23,19.94,93.4,ok
mmpose,1602,Screwing,0-2,7,2567,6,0.9183,13.056,8.475,29,72.32,68.68,21.644,4.99,28.24,70.2,ok
mmpose,1602,SideOverhead,0-2,7,3546,5,0.851,24.628,17.942,29,55.4,94.67,15.125,4.98,32.78,64.8,ok
mmpose,1847,Lifting,0-2,7,1833,6,0.9902,14.183,11.131,29,39.99,92.15,8.721,4.77,7.01,116.6,ok
mmpose,1847,Polishing,0-2,7,2493,6,0.9371,17.743,14.789,29,72.0,85.32,18.843,4.51,14.52,106.6,ok
mmpose,1847,RobotPolishing,0-2,7,4096,7,0.9592,13.714,11.554,29,63.01,68.71,13.729,4.05,20.75,93.6,ok
mmpose,1847,RobotWelding,0-2,7,3716,4,0.9216,15.049,11.092,29,87.13,80.73,11.132,4.5,28.46,77.3,ok
mmpose,1847,Screwing,0-2,7,2388,7,0.8321,18.48,10.517,29,71.22,77.71,6.749,4.94,28.67,69.6,ok
mmpose,1847,SideOverhead,0-2,7,3585,5,0.7839,21.188,13.14,29,58.64,76.38,7.771,4.57,9.8,111.7,ok
mmpose,2112,Lifting,0-2,7,1594,5,0.999,11.204,9.275,29,25.97,109.71,11.24,4.55,25.3,76.2,ok
mmpose,2112,Polishing,0-2,7,1771,4,0.8775,14.971,10.793,29,61.14,112.94,17.112,5.08,28.58,60.7,ok
mmpose,2112,RobotPolishing,0-2,7,3094,7,0.9378,13.649,8.524,29,34.02,108.31,10.636,4.49,23.43,89.9,ok
mmpose,2112,RobotWelding,0-2,7,2341,3,0.7336,16.662,10.986,29,53.79,114.08,14.045,4.75,28.06,86.8,ok
mmpose,2112,Screwing,0-2,7,2964,6,0.7458,18.104,10.679,29,30.87,108.19,15.111,4.52,28.36,72.2,ok
mmpose,2112,SideOverhead,0-2,7,2348,6,0.9486,15.147,12.165,29,40.87,120.42,8.465,5.06,31.27,68.0,ok
mmpose,2198,Lifting,0-2,7,1770,5,0.9945,13.676,11.572,29,72.05,141.38,8.974,4.71,7.44,110.2,ok
mmpose,2198,Polishing,0-2,7,1730,3,0.9579,16.593,14.466,29,61.64,142.8,17.698,4.05,5.66,125.8,ok
mmpose,2198,RobotPolishing,0-2,7,1797,6,0.8896,13.148,9.139,29,51.55,127.92,9.723,4.73,27.58,81.3,ok
mmpose,2198,RobotWelding,0-2,7,2444,6,0.7855,13.013,8.954,29,61.13,113.63,12.422,4.54,27.42,83.2,ok
mmpose,2198,Screwing,0-2,7,1914,6,0.9686,13.549,13.681,29,54.59,122.17,19.626,4.87,28.24,80.5,ok
mmpose,2198,SideOverhead,0-2,7,3534,5,0.8958,21.889,14.628,29,62.2,126.92,11.396,4.76,27.39,80.3,ok
mmpose,2307,Lifting,0-2,7,1507,5,0.9967,12.177,9.818,29,37.15,79.7,10.809,4.62,5.94,127.1,ok
mmpose,2307,Polishing,0-2,7,2324,5,0.9167,17.166,14.755,29,56.58,105.4,10.288,4.4,27.58,75.4,ok
mmpose,2307,RobotPolishing,0-2,7,3256,4,0.9597,14.769,11.746,29,34.51,85.2,14.191,3.81,26.06,84.6,ok
mmpose,2307,RobotWelding,0-2,7,2492,6,0.9147,12.658,10.916,29,28.21,93.3,13.316,4.56,7.11,109.0,ok
mmpose,2307,Screwing,0-2,7,2315,5,0.7769,14.731,8.773,29,34.56,94.14,9.735,4.58,28.21,85.5,ok
mmpose,2307,SideOverhead,0-2,7,2569,4,0.7169,19.87,14.86,29,36.39,76.21,10.945,4.66,27.55,72.6,ok
mmpose,4162,Lifting,0-2,7,1835,5,0.9979,14.573,12.065,29,41.71,57.41,12.163,4.56,5.76,131.0,ok
mmpose,4162,Polishing,0-2,7,2483,6,0.9131,16.524,10.236,29,23.06,58.95,8.193,4.22,27.2,74.8,ok
mmpose,4162,RobotPolishing,0-2,7,2991,5,0.9189,15.938,11.406,29,36.5,56.39,5.422,4.43,26.26,75.2,ok
mmpose,4162,RobotWelding,0-2,7,2707,4,0.9068,16.148,12.734,29,34.94,65.46,12.147,4.58,5.79,129.8,ok
mmpose,4162,Screwing,0-2,7,3094,4,0.5658,18.796,13.733,29,35.59,55.5,17.934,5.07,30.07,69.7,ok
mmpose,4162,SideOverhead,0-2,7,3476,5,0.8271,25.426,14.062,29,47.74,66.78,16.549,4.25,26.5,87.2,ok
mmpose,4216,Lifting,0-2,7,976,5,0.99,15.413,12.067,29,36.33,78.59,9.224,4.66,5.82,121.7,ok
mmpose,4216,Polishing,0-2,7,1839,4,0.844,18.256,13.517,29,26.97,70.39,21.252,4.53,27.29,85.9,ok
mmpose,4216,RobotPolishing,0-2,7,2281,5,0.8598,13.406,10.533,29,26.11,59.16,7.651,4.16,27.2,85.1,ok
mmpose,4216,RobotWelding,0-2,7,2585,6,0.7592,14.929,13.278,29,25.82,80.88,12.341,5.06,28.38,77.9,ok
mmpose,4216,Screwing,0-2,7,2170,6,0.9178,14.128,8.695,29,16.53,54.79,10.931,4.71,22.74,91.2,ok
mmpose,4216,SideOverhead,0-2,7,3098,5,0.8505,21.427,14.464,29,45.55,84.52,10.259,4.58,12.22,106.9,ok
mmpose,4279,Lifting,0-2,7,2009,7,0.897,14.475,12.085,29,61.91,149.89,10.881,4.38,27.12,81.9,ok
mmpose,4279,Polishing,0-2,7,1747,6,0.8834,13.262,9.777,29,79.19,115.84,12.001,4.68,25.99,78.5,ok
mmpose,4279,RobotPolishing,0-2,7,2921,6,0.5694,11.374,8.0,29,61.18,116.9,7.732,4.57,6.66,122.7,ok
mmpose,4279,RobotWelding,0-2,7,2658,5,0.8978,12.25,8.083,29,64.61,116.78,7.935,3.97,26.27,88.8,ok
mmpose,4279,Screwing,0-2,7,2825,6,0.9257,14.403,8.57,29,28.68,112.64,13.597,4.68,28.44,70.6,ok
mmpose,4279,SideOverhead,0-2,7,2819,6,0.7621,17.278,14.215,29,63.34,129.69,13.009,4.7,9.79,109.1,ok
mmpose,4509,Lifting,0-2,7,1330,6,0.9882,14.201,11.597,29,43.33,74.8,10.022,3.77,18.39,104.9,ok
mmpose,4509,Polishing,0-2,7,2125,7,0.8486,16.178,12.512,29,41.57,86.58,25.263,4.58,25.09,89.3,ok
mmpose,4509,RobotPolishing,0-2,7,2818,6,0.8371,13.589,10.169,29,28.72,76.01,15.111,4.62,27.51,80.4,ok
mmpose,4509,RobotWelding,0-2,7,2762,7,0.7545,13.161,10.226,29,25.09,73.81,15.661,4.24,16.1,94.9,ok
mmpose,4509,Screwing,0-2,7,2347,7,0.7373,17.012,12.365,29,28.68,86.35,17.099,4.96,6.25,120.4,ok
mmpose,4509,SideOverhead,0-2,7,2036,5,0.4137,22.562,14.848,29,78.24,93.05,10.665,4.67,15.19,88.3,ok
mmpose,4612,Lifting,0-2,7,1898,5,0.993,13.064,10.598,29,48.97,61.82,10.846,4.4,27.67,70.5,ok
mmpose,4612,Polishing,0-2,7,1905,4,0.7319,16.5,14.026,29,28.88,62.96,15.806,4.22,27.31,79.8,ok
mmpose,4612,RobotPolishing,0-2,7,2906,5,0.8052,10.847,8.582,29,22.52,55.43,5.99,4.43,29.79,70.2,ok
mmpose,4612,RobotWelding,0-2,7,2228,6,0.7517,9.929,8.265,29,17.32,57.64,7.819,4.77,26.34,87.3,ok
mmpose,4612,Screwing,0-2,7,2237,5,0.8221,12.881,9.505,29,19.54,55.7,10.309,4.53,30.97,70.5,ok
mmpose,4612,SideOverhead,0-2,7,2553,6,0.8723,16.16,16.459,29,38.22,70.73,9.531,4.32,27.48,75.8,ok
mmpose,4665,Lifting,0-2,7,1751,5,0.9755,21.898,13.675,29,76.15,116.16,11.688,4.62,27.19,76.1,ok
mmpose,4665,Polishing,0-2,7,3157,7,0.9334,17.907,11.034,29,47.32,122.23,14.926,4.67,27.22,91.3,ok
mmpose,4665,RobotPolishing,0-2,7,3628,3,0.8416,15.369,12.701,29,30.62,114.11,6.984,4.15,24.26,97.4,ok
mmpose,4665,RobotWelding,0-2,7,3237,5,0.8929,16.336,10.985,29,21.62,113.28,8.533,4.27,26.27,86.8,ok
mmpose,4665,Screwing,0-2,7,3374,6,0.8239,15.276,9.102,29,23.87,107.42,9.371,4.28,26.68,84.8,ok
mmpose,4665,SideOverhead,0-2,7,3199,5,0.2595,21.701,17.03,29,134.42,135.07,10.759,4.49,26.4,88.6,ok
mmpose,4687,Lifting,0-2,7,1571,6,0.9962,14.086,12.657,29,53.46,106.6,12.021,4.73,7.18,116.5,ok
mmpose,4687,Polishing,0-2,7,1524,5,0.958,12.858,8.952,29,54.36,98.98,8.628,4.94,5.47,130.0,ok
mmpose,4687,RobotPolishing,0-2,7,2125,6,0.9388,15.031,11.014,29,44.22,102.99,11.31,4.26,29.84,67.0,ok
mmpose,4687,RobotWelding,0-2,7,1861,5,0.9126,14.079,9.636,29,68.32,108.44,15.814,4.35,27.55,69.7,ok
mmpose,4687,Screwing,0-2,7,1958,6,0.9211,13.914,7.863,29,44.3,89.03,13.946,4.43,26.21,77.7,ok
mmpose,4687,SideOverhead,0-2,7,1527,5,0.9058,15.342,11.457,29,51.71,120.32,14.725,4.67,5.64,127.5,ok
mmpose,4801,Lifting,0-2,7,1047,6,0.997,16.521,11.371,29,44.34,122.54,13.324,4.1,25.34,84.3,ok
mmpose,4801,Polishing,0-2,7,3072,4,0.6617,16.327,11.987,29,55.5,146.53,9.502,4.5,27.52,69.4,ok
mmpose,4801,RobotPolishing,0-2,7,4132,5,0.7907,16.859,12.17,29,56.71,138.04,13.804,4.39,21.95,92.7,ok
mmpose,4801,RobotWelding,0-2,7,2493,5,0.6683,19.31,11.716,29,49.0,128.06,10.024,5.04,9.58,108.1,ok
mmpose,4801,Screwing,0-2,7,2841,6,0.6639,14.298,7.848,29,51.22,132.79,8.687,4.61,26.58,85.8,ok
mmpose,4801,SideOverhead,0-2,7,4413,5,0.8079,25.353,13.541,29,68.96,105.96,14.765,4.67,27.55,82.7,ok
mmpose,4827,Lifting,0-2,7,1243,4,0.8742,16.735,12.68,29,83.11,106.77,11.622,4.53,28.62,75.3,ok
mmpose,4827,Polishing,0-2,7,1867,4,0.9367,15.678,10.625,29,92.17,70.0,13.719,3.88,5.31,144.6,ok
mmpose,4827,RobotPolishing,0-2,7,2443,6,0.7283,15.203,9.469,29,18.91,69.52,9.674,4.54,9.99,98.9,ok
mmpose,4827,RobotWelding,0-2,7,2249,4,0.8517,15.233,10.525,29,44.46,76.31,5.491,4.79,26.53,67.1,ok
mmpose,4827,Screwing,0-2,7,2307,5,0.8036,16.104,9.968,29,47.3,68.07,7.655,4.62,26.25,73.4,ok
mmpose,4827,SideOverhead,0-2,7,2644,6,0.8308,17.796,11.689,29,38.9,67.58,13.822,4.56,10.3,112.0,ok
mmpose,3361,Lifting,0-2,7,720,4,0.9408,15.257,14.195,29,130.04,215.04,15.812,3.7,5.04,144.1,ok
mmpose,3361,Polishing,0-2,7,1933,3,0.8773,18.323,13.794,29,63.8,240.47,9.337,3.79,5.06,156.6,ok
mmpose,3361,RobotPolishing,0-2,7,3117,1,0.9154,17.015,13.085,29,85.41,240.69,8.078,4.14,5.6,151.7,ok
mmpose,3361,RobotWelding,0-2,7,2575,5,0.8821,15.85,11.701,29,71.23,245.73,7.124,4.08,5.34,158.6,ok
mmpose,3361,Screwing,0-2,7,1887,7,0.7935,15.861,10.247,29,42.67,231.25,16.486,4.1,5.19,153.8,ok
mmpose,3361,SideOverhead,0-2,7,3063,7,0.8967,16.217,14.739,29,80.14,229.1,12.018,3.71,5.07,164.8,ok
