arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf,1012,Lifting,0-2-4-6,7,1771,4,0.9987,12.525,8.453,29,20.8,53.75,9.234,3.58,4.34,35.2,ok
nlf,1012,Polishing,0-2-4-6,7,1889,4,0.9813,13.807,8.703,29,36.36,59.48,13.275,3.53,4.39,32.2,ok
nlf,1012,RobotPolishing,0-2-4-6,7,2795,4,0.9769,11.356,6.012,29,56.31,52.23,12.32,3.55,4.4,33.7,ok
nlf,1012,RobotWelding,0-2-4-6,7,1976,4,0.9693,12.353,7.782,29,33.16,54.0,12.349,3.99,4.88,31.2,ok
nlf,1012,Screwing,0-2-4-6,7,2808,5,0.9305,14.667,9.212,29,20.87,62.24,9.125,3.21,4.12,35.5,ok
nlf,1012,SideOverhead,0-2-4-6,7,3992,4,0.976,16.486,9.658,29,20.94,53.37,6.272,4.01,4.64,34.1,ok
nlf,1118,Lifting,0-2-4-6,7,914,3,0.9951,11.575,7.215,29,64.76,48.11,7.114,3.5,3.91,37.1,ok
nlf,1118,Polishing,0-2-4-6,7,2969,4,0.8356,14.749,7.348,29,43.09,61.55,11.408,4.25,4.94,33.1,ok
nlf,1118,RobotPolishing,0-2-4-6,7,3057,4,0.8433,12.661,5.563,29,30.83,57.55,5.274,3.25,3.93,32.9,ok
nlf,1118,RobotWelding,0-2-4-6,7,2114,4,0.9281,12.666,5.966,29,25.23,53.89,4.191,3.24,4.04,33.6,ok
nlf,1118,Screwing,0-2-4-6,7,375,2,0.6952,13.355,6.649,29,135.32,49.91,17.084,3.27,3.71,26.6,ok
nlf,1118,SideOverhead,0-2-4-6,7,2952,4,0.9222,13.702,7.436,29,33.96,50.87,6.746,3.57,4.29,33.9,ok
nlf,1508,Lifting,0-2-4-6,7,1640,4,0.9984,12.656,8.523,29,23.65,49.41,9.626,3.57,4.39,33.4,ok
nlf,1508,Polishing,0-2-4-6,7,2034,3,0.6502,13.89,7.381,29,91.28,59.34,20.603,3.92,4.76,32.0,ok
nlf,1508,RobotPolishing,0-2-4-6,7,3128,3,0.9564,11.373,5.941,29,164.58,53.79,27.065,3.94,4.52,32.7,ok
nlf,1508,RobotWelding,0-2-4-6,7,3025,3,0.9753,11.697,7.118,29,42.11,47.39,16.546,3.6,4.19,33.8,ok
nlf,1508,Screwing,0-2-4-6,7,2352,4,0.8094,12.205,6.73,29,44.68,47.63,8.917,3.31,4.25,33.3,ok
nlf,1508,SideOverhead,0-2-4-6,7,3063,4,0.9621,13.339,9.105,29,37.86,58.09,8.63,3.89,4.83,33.2,ok
nlf,1602,Lifting,0-2-4-6,7,1410,4,0.9764,11.673,7.132,29,20.37,48.51,5.484,3.66,4.34,31.8,ok
