arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf,1012,Lifting,0-2,7,1771,4,0.9984,13.176,9.647,29,46.29,78.88,11.815,3.73,4.93,40.2,ok
nlf,1012,Polishing,0-2,7,1889,4,0.9616,14.68,8.527,29,40.68,92.82,12.16,3.54,4.47,44.9,ok
nlf,1012,RobotPolishing,0-2,7,2795,4,0.953,12.685,6.204,29,53.74,96.4,8.906,3.88,4.87,41.1,ok
nlf,1012,RobotWelding,0-2,7,1976,4,0.9404,13.387,8.912,29,38.15,103.92,11.249,4.01,4.9,44.3,ok
nlf,1012,Screwing,0-2,7,2808,5,0.916,15.098,8.91,29,97.37,112.2,6.466,4.0,4.76,42.0,ok
nlf,1012,SideOverhead,0-2,7,3992,4,0.9483,16.448,9.033,29,41.37,78.62,6.902,4.05,4.94,41.4,ok
nlf,1118,Lifting,0-2,7,914,3,0.9906,11.623,8.028,29,122.05,126.99,8.87,3.59,4.66,40.5,ok
nlf,1118,Polishing,0-2,7,2969,4,0.8284,14.956,8.925,29,112.14,175.72,19.917,4.04,5.22,40.3,ok
nlf,1118,RobotPolishing,0-2,7,3057,4,0.908,12.214,6.03,29,72.07,114.89,6.091,3.21,4.78,43.9,ok
nlf,1118,RobotWelding,0-2,7,2114,5,0.9623,12.328,5.923,29,75.58,100.83,6.163,3.19,4.42,45.8,ok
nlf,1118,Screwing,0-2,7,375,1,0.6986,12.946,5.946,29,155.0,130.37,23.369,3.68,5.09,31.1,ok
nlf,1118,SideOverhead,0-2,7,2952,3,0.9177,13.55,7.956,29,78.25,98.37,7.485,3.68,4.68,43.2,ok
nlf,1508,Lifting,0-2,7,1640,4,0.9983,12.591,7.791,29,74.33,94.4,14.068,3.73,4.61,41.2,ok
nlf,1508,Polishing,0-2,7,2034,3,0.5806,12.311,9.343,29,176.25,181.79,39.883,3.89,5.5,43.4,ok
nlf,1508,RobotPolishing,0-2,7,3128,4,0.9567,11.523,7.49,29,311.88,103.33,44.144,4.0,4.88,42.1,ok
nlf,1508,RobotWelding,0-2,7,3025,3,0.9664,11.231,6.843,29,72.21,88.79,17.467,3.77,4.56,42.0,ok
nlf,1508,Screwing,0-2,7,2352,3,0.7919,12.09,7.147,29,116.16,118.69,16.932,3.41,4.35,42.9,ok
nlf,1508,SideOverhead,0-2,7,3063,4,0.9032,13.435,9.61,29,50.67,92.62,9.588,3.95,4.91,42.2,ok
nlf,1602,Lifting,0-2,7,1410,4,0.9736,11.375,7.294,29,100.57,129.57,10.755,3.77,5.06,40.3,ok
nlf,1602,Polishing,0-2,7,1916,4,0.966,15.358,8.265,29,66.78,157.16,12.349,3.92,4.79,45.1,ok
nlf,1602,RobotPolishing,0-2,7,3858,5,0.9422,12.797,8.631,29,94.07,124.2,14.301,3.89,4.96,40.4,ok
nlf,1602,RobotWelding,0-2,7,2278,4,0.9662,10.494,6.286,29,108.12,101.37,16.622,3.96,4.56,44.0,ok
nlf,1602,Screwing,0-2,7,2567,4,0.9481,13.317,5.873,29,53.4,155.43,9.209,3.53,4.77,40.6,ok
nlf,1602,SideOverhead,0-2,7,3546,4,0.9782,13.485,8.862,29,59.94,108.49,7.022,4.23,5.03,42.5,ok
nlf,1847,Lifting,0-2,7,1833,5,0.9922,11.68,9.207,29,78.15,143.62,7.86,3.63,5.14,40.5,ok
nlf,1847,Polishing,0-2,7,2493,4,0.9522,13.752,9.566,29,144.83,168.65,8.115,3.56,5.24,40.9,ok
nlf,1847,RobotPolishing,0-2,7,4096,4,0.9208,13.568,10.337,29,152.23,139.42,7.884,3.9,5.0,42.6,ok
nlf,1847,RobotWelding,0-2,7,3716,3,0.9241,11.609,7.618,29,126.4,147.46,5.078,3.9,4.81,42.8,ok
nlf,1847,Screwing,0-2,7,2388,5,0.9221,17.074,11.601,29,172.59,176.86,5.76,4.37,5.54,39.6,ok
nlf,1847,SideOverhead,0-2,7,3585,4,0.9366,20.07,9.898,29,74.13,114.17,9.94,4.27,5.07,42.4,ok
nlf,2112,Lifting,0-2,7,1594,4,0.9967,11.829,7.951,29,24.48,105.96,11.067,3.84,5.67,40.6,ok
