arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf,1012,Lifting,0,7,1771,4,0.9974,13.508,9.704,29,72.43,99.27,15.029,3.57,4.3,53.3,ok
nlf,1012,Polishing,0,7,1889,4,0.9278,15.171,8.89,29,89.7,105.2,16.106,3.47,4.28,59.7,ok
nlf,1012,RobotPolishing,0,7,2795,3,0.9136,13.432,8.118,29,65.24,103.47,9.131,3.86,4.48,54.9,ok
nlf,1012,RobotWelding,0,7,1976,2,0.9288,13.862,9.682,29,53.89,111.53,11.985,3.92,4.35,53.8,ok
nlf,1012,Screwing,0,7,2808,5,0.9077,15.306,9.25,29,157.36,126.36,9.353,3.86,4.25,56.0,ok
nlf,1012,SideOverhead,0,7,3992,4,0.9418,17.281,9.617,29,45.16,87.58,8.359,3.9,4.38,55.1,ok
nlf,1118,Lifting,0,7,914,3,0.9861,12.119,8.263,29,120.64,134.35,9.697,3.53,4.27,53.9,ok
nlf,1118,Polishing,0,7,2969,5,0.8069,15.458,9.365,29,120.41,181.85,20.784,3.64,4.27,57.4,ok
nlf,1118,RobotPolishing,0,7,3057,5,0.8198,13.082,7.19,29,101.6,160.0,7.326,3.21,3.93,55.5,ok
nlf,1118,RobotWelding,0,7,2114,5,0.9425,13.352,6.539,29,103.63,128.48,8.514,3.36,3.92,55.9,ok
nlf,1118,Screwing,0,7,375,0,0.6999,13.464,6.909,29,211.07,158.63,34.024,3.46,4.33,38.0,ok
nlf,1118,SideOverhead,0,7,2952,3,0.9066,14.003,8.223,29,101.37,112.52,8.059,3.57,4.3,56.9,ok
nlf,1508,Lifting,0,7,1640,5,0.9981,12.838,8.262,29,89.8,98.93,14.737,3.73,4.41,53.0,ok
nlf,1508,Polishing,0,7,2034,3,0.5819,12.949,9.609,29,190.68,197.88,47.53,3.85,4.47,53.2,ok
nlf,1508,RobotPolishing,0,7,3128,4,0.937,12.253,8.975,29,521.43,131.73,73.683,3.91,4.33,55.2,ok
nlf,1508,RobotWelding,0,7,3025,4,0.9461,11.707,8.773,29,129.11,113.67,33.341,3.56,4.31,56.8,ok
nlf,1508,Screwing,0,7,2352,4,0.7827,12.584,8.49,29,111.23,118.63,18.073,3.22,3.92,53.5,ok
nlf,1508,SideOverhead,0,7,3063,4,0.8978,13.648,9.404,29,53.56,96.88,8.947,3.8,4.35,56.8,ok
nlf,1602,Lifting,0,7,1410,4,0.9732,11.691,7.615,29,81.84,124.52,9.866,3.56,4.28,54.0,ok
nlf,1602,Polishing,0,7,1916,3,0.9,16.52,10.116,29,71.27,190.96,20.297,3.7,4.11,57.7,ok
nlf,1602,RobotPolishing,0,7,3858,4,0.8935,13.379,9.709,29,59.87,133.99,15.69,3.94,4.41,54.5,ok
nlf,1602,RobotWelding,0,7,2278,5,0.9625,10.692,6.294,29,455.07,113.56,63.77,3.92,4.47,52.5,ok
nlf,1602,Screwing,0,7,2567,3,0.8848,13.848,7.936,29,93.11,183.91,22.018,3.25,3.9,57.7,ok
nlf,1602,SideOverhead,0,7,3546,3,0.9763,14.283,9.615,29,46.01,117.2,8.041,4.04,4.55,53.5,ok
nlf,1847,Lifting,0,7,1833,5,0.9925,11.911,8.947,29,68.68,157.71,7.479,3.42,3.95,60.3,ok
nlf,1847,Polishing,0,7,2493,5,0.9457,14.15,8.691,29,156.51,179.01,8.797,3.49,3.92,52.8,ok
nlf,1847,RobotPolishing,0,7,4096,4,0.9103,14.056,10.623,29,155.25,136.07,8.241,3.99,4.53,54.0,ok
nlf,1847,RobotWelding,0,7,3716,3,0.8969,12.635,7.985,29,122.44,144.68,4.83,4.01,4.51,55.2,ok
nlf,1847,Screwing,0,7,2388,5,0.9207,17.365,12.027,29,149.56,172.32,6.755,4.25,4.68,51.9,ok
nlf,1847,SideOverhead,0,7,3585,3,0.9426,16.482,9.668,29,77.82,120.53,9.567,4.02,4.56,58.6,ok
nlf,2112,Lifting,0,7,1594,4,0.9972,11.731,8.515,29,29.63,98.55,11.59,3.35,4.09,70.3,ok
nlf,2112,Polishing,0,7,1771,3,0.7667,13.165,7.168,29,71.56,164.29,22.255,4.03,4.24,67.7,ok
nlf,2112,RobotPolishing,0,7,3094,4,0.5774,12.914,8.089,29,51.75,111.98,7.581,3.95,4.38,69.2,ok
nlf,2112,RobotWelding,0,7,2341,3,0.3206,12.713,8.026,29,66.41,107.89,7.598,4.04,4.37,68.4,ok
nlf,2112,Screwing,0,7,2964,3,0.5293,14.027,6.947,29,48.09,109.9,5.904,4.03,4.23,68.8,ok
nlf,2112,SideOverhead,0,7,2348,5,0.8892,13.333,8.538,29,43.05,124.97,5.698,3.88,4.22,69.3,ok
nlf,2198,Lifting,0,7,1770,5,0.9964,11.273,8.138,29,64.18,135.44,8.331,3.28,3.69,72.0,ok
nlf,2198,Polishing,0,7,1730,3,0.9386,12.485,10.218,29,128.57,152.9,20.477,3.34,3.77,70.7,ok
nlf,2198,RobotPolishing,0,7,1797,5,0.5258,11.658,8.37,29,120.39,73.2,21.751,3.9,4.19,69.4,ok
nlf,2198,RobotWelding,0,7,2444,5,0.6762,12.649,11.028,29,61.07,76.2,13.028,3.69,4.14,70.5,ok
nlf,2198,Screwing,0,7,1914,4,0.8488,13.156,10.831,29,46.72,106.6,7.485,2.99,3.64,72.5,ok
nlf,2198,SideOverhead,0,7,3534,5,0.9328,23.479,16.584,29,53.97,87.65,14.318,4.03,4.45,69.5,ok
nlf,2307,Lifting,0,7,1507,5,0.9968,11.895,9.184,29,67.75,92.99,10.679,3.32,3.85,70.4,ok
nlf,2307,Polishing,0,7,2324,3,0.9328,14.959,7.706,29,115.95,118.15,18.703,3.32,3.79,70.9,ok
nlf,2307,RobotPolishing,0,7,3256,3,0.9691,16.153,11.742,29,42.78,80.59,11.977,3.34,3.8,71.3,ok
nlf,2307,RobotWelding,0,7,2492,4,0.9174,12.458,11.978,29,32.3,79.67,10.242,3.35,3.89,70.7,ok
nlf,2307,Screwing,0,7,2315,5,0.8835,13.378,8.962,29,30.81,76.35,9.012,2.96,3.56,72.6,ok
nlf,2307,SideOverhead,0,7,2569,3,0.9296,14.865,11.136,29,22.51,81.74,5.394,3.33,3.9,71.0,ok
nlf,4162,Lifting,0,7,1835,5,0.9979,13.57,7.587,29,39.2,77.14,9.861,3.28,3.68,72.3,ok
nlf,4162,Polishing,0,7,2483,5,0.9189,15.935,9.044,29,47.26,130.83,21.132,3.28,3.78,72.4,ok
nlf,4162,RobotPolishing,0,7,2991,5,0.9306,17.536,11.249,29,47.9,151.78,29.455,3.28,4.02,72.4,ok
nlf,4162,RobotWelding,0,7,2707,4,0.8874,17.1,9.937,29,106.39,163.76,25.22,3.3,4.01,72.3,ok
nlf,4162,Screwing,0,7,3094,5,0.8216,17.425,10.109,29,38.59,103.69,13.642,3.28,3.68,73.0,ok
nlf,4162,SideOverhead,0,7,3476,5,0.9345,26.292,16.889,29,42.83,128.11,13.862,3.39,3.88,71.7,ok
nlf,4216,Lifting,0,7,976,4,0.9945,13.626,9.058,29,46.31,92.91,8.502,3.29,3.97,69.9,ok
nlf,4216,Polishing,0,7,1839,3,0.8556,13.639,10.002,29,73.39,121.75,24.546,3.3,3.72,71.3,ok
nlf,4216,RobotPolishing,0,7,2281,5,0.6812,15.348,8.747,29,52.75,167.14,31.719,3.31,3.75,71.3,ok
nlf,4216,RobotWelding,0,7,2585,5,0.9482,12.359,7.42,29,50.33,145.72,15.165,4.0,4.23,69.1,ok
nlf,4216,Screwing,0,7,2170,5,0.9564,14.33,6.644,29,43.15,98.18,15.943,3.91,4.18,69.5,ok
nlf,4216,SideOverhead,0,7,3098,3,0.9392,22.486,11.808,29,40.71,122.36,15.721,3.62,4.15,70.6,ok
nlf,4279,Lifting,0,7,2009,3,0.9666,12.53,8.321,29,63.0,95.3,6.089,3.31,4.0,71.6,ok
nlf,4279,Polishing,0,7,1747,3,0.8597,12.895,7.955,29,98.85,126.8,18.169,3.33,3.85,70.7,ok
nlf,4279,RobotPolishing,0,7,2921,4,0.8704,10.615,5.444,29,129.01,100.48,16.837,3.63,4.03,71.1,ok
nlf,4279,RobotWelding,0,7,2658,4,0.9495,11.646,6.07,29,61.88,81.18,3.039,3.76,4.19,69.7,ok
nlf,4279,Screwing,0,7,2825,4,0.9479,14.327,8.81,29,68.68,119.75,13.017,3.66,4.13,70.4,ok
nlf,4279,SideOverhead,0,7,2819,3,0.9716,15.89,11.665,29,58.82,81.28,8.571,3.66,4.1,70.3,ok
nlf,4509,Lifting,0,7,1330,5,0.9922,14.481,10.372,29,48.66,62.23,10.424,3.38,4.07,70.3,ok
nlf,4509,Polishing,0,7,2125,4,0.8765,13.651,8.548,29,58.57,80.24,12.841,3.64,4.06,70.3,ok
nlf,4509,RobotPolishing,0,7,2818,3,0.9155,11.439,8.115,29,57.54,62.94,16.328,4.11,4.35,68.3,ok
nlf,4509,RobotWelding,0,7,2762,5,0.9257,11.85,6.756,29,53.33,65.02,11.299,4.08,4.28,68.4,ok
nlf,4509,Screwing,0,7,2347,6,0.8217,13.293,7.651,29,60.62,102.59,19.598,3.73,4.19,69.6,ok
nlf,4509,SideOverhead,0,7,2036,3,0.9081,16.821,9.493,29,35.33,61.87,11.957,3.74,4.28,69.4,ok
