arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
fastsam,1012,Lifting,0,7,1771,6,0.9959,10.148,6.967,29,50.95,87.54,12.96,3.01,3.42,279.1,ok
fastsam,1012,Polishing,0,7,1889,7,0.9715,10.852,7.452,29,146.1,110.17,19.95,2.66,3.38,297.2,ok
fastsam,1012,RobotPolishing,0,7,2795,6,0.9419,10.271,9.427,29,47.49,84.71,8.532,2.68,3.39,302.8,ok
fastsam,1012,RobotWelding,0,7,1976,6,0.8969,10.807,7.546,29,51.84,71.3,7.429,2.65,3.37,298.6,ok
fastsam,1012,Screwing,0,7,2808,8,0.8731,11.199,8.975,29,74.64,95.34,12.601,2.67,3.38,307.0,ok
fastsam,1012,SideOverhead,0,7,3992,6,0.961,24.131,9.184,29,42.04,85.63,8.011,3.06,3.96,274.2,ok
fastsam,1118,Lifting,0,7,914,7,0.9764,11.882,9.289,29,113.14,157.76,12.987,3.01,3.76,248.6,ok
fastsam,1118,Polishing,0,7,2969,6,0.8564,13.502,10.026,29,127.12,183.2,24.477,2.95,3.31,298.9,ok
fastsam,1118,RobotPolishing,0,7,3057,7,0.951,11.019,7.289,29,81.55,175.6,9.395,2.58,3.4,326.7,ok
fastsam,1118,RobotWelding,0,7,2114,8,0.9786,10.025,5.968,29,77.2,162.66,7.676,2.59,3.38,311.2,ok
fastsam,1118,Screwing,0,7,2491,6,0.9362,9.796,5.367,29,80.14,138.49,9.962,2.59,3.17,318.3,ok
fastsam,1118,SideOverhead,0,7,2952,6,0.9383,11.608,8.133,29,75.65,134.22,7.573,2.87,3.34,302.6,ok
fastsam,1508,Lifting,0,7,1640,7,0.9927,12.019,10.57,29,62.19,112.12,8.585,2.92,3.53,279.0,ok
fastsam,1508,Polishing,0,7,2034,7,0.8654,12.904,9.276,29,103.16,106.29,18.703,2.94,3.4,287.4,ok
fastsam,1508,RobotPolishing,0,7,3128,8,0.9753,12.219,9.325,29,106.04,128.13,12.956,3.0,3.77,292.7,ok
fastsam,1508,RobotWelding,0,7,3025,8,0.9812,10.661,7.58,29,39.92,122.82,11.54,2.65,3.77,300.8,ok
fastsam,1508,Screwing,0,7,2352,7,0.8748,10.507,8.786,29,66.01,92.32,21.952,2.83,3.32,303.2,ok
fastsam,1508,SideOverhead,0,7,3063,7,0.8747,12.049,9.178,29,57.34,96.54,6.908,2.82,3.32,308.3,ok
fastsam,1602,Lifting,0,7,1410,7,0.9697,11.047,7.983,29,86.12,98.1,16.521,2.86,3.54,278.0,ok
fastsam,1602,Polishing,0,7,1916,6,0.9392,12.942,9.839,29,45.13,104.91,17.209,2.95,3.4,283.8,ok
fastsam,1602,RobotPolishing,0,7,3858,7,0.9521,13.549,6.677,29,52.93,109.33,19.014,2.95,3.25,302.0,ok
fastsam,1602,RobotWelding,0,7,2278,8,0.9715,9.47,5.872,29,47.62,110.55,10.865,2.7,3.1,308.9,ok
fastsam,1602,Screwing,0,7,2567,7,0.9744,9.981,7.155,29,67.31,81.63,10.614,2.64,3.16,314.0,ok
fastsam,1602,SideOverhead,0,7,3546,5,0.9728,17.729,9.356,29,51.12,72.1,11.402,3.15,3.69,284.8,ok
fastsam,1847,Lifting,0,7,1833,7,0.9872,10.475,8.919,29,118.35,114.97,11.21,2.85,3.52,288.6,ok
fastsam,1847,Polishing,0,7,2493,8,0.9712,12.916,10.361,29,177.09,121.22,21.578,2.64,3.13,312.2,ok
fastsam,1847,RobotPolishing,0,7,4096,7,0.9872,11.789,7.57,29,77.06,94.63,8.452,2.59,3.0,335.2,ok
fastsam,1847,RobotWelding,0,7,3716,6,0.9822,10.504,6.309,29,53.87,84.88,6.19,2.59,2.95,332.8,ok
fastsam,1847,Screwing,0,7,2388,8,0.9354,15.265,9.8,29,43.44,74.8,10.775,2.88,3.06,298.3,ok
fastsam,1847,SideOverhead,0,7,3585,6,0.9665,16.621,9.129,29,62.61,83.49,6.547,2.95,3.32,306.0,ok
fastsam,2112,Lifting,0,7,1594,7,0.9987,10.414,7.787,29,88.61,109.23,15.026,2.95,3.69,278.0,ok
fastsam,2112,Polishing,0,7,1771,7,0.7668,13.329,9.559,29,64.54,133.87,27.855,2.67,3.38,295.1,ok
fastsam,2112,RobotPolishing,0,7,3094,7,0.9605,12.562,8.083,29,58.52,143.51,18.692,2.86,3.7,299.2,ok
fastsam,2112,RobotWelding,0,7,2341,6,0.879,11.703,8.56,29,54.41,139.61,14.401,2.88,3.32,299.3,ok
fastsam,2112,Screwing,0,7,2964,8,0.7805,12.933,8.045,29,47.49,129.09,17.891,2.65,3.17,317.0,ok
fastsam,2112,SideOverhead,0,7,2348,8,0.97,10.247,8.236,29,55.9,101.57,7.644,3.04,3.78,273.5,ok
fastsam,2198,Lifting,0,7,1770,8,0.9975,10.835,7.359,29,100.52,132.64,10.219,2.99,3.11,291.9,ok
