arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
mmpose,1012,Lifting,0-2-4-6,7,1771,7,0.9959,14.264,11.309,29,30.71,73.21,11.183,4.51,6.02,129.2,ok
mmpose,1012,Polishing,0-2-4-6,7,1889,9,0.9287,15.076,11.84,29,18.06,86.86,20.529,4.29,5.67,134.1,ok
mmpose,1012,RobotPolishing,0-2-4-6,7,2795,6,0.8942,12.518,10.168,29,108.75,84.63,24.781,3.92,10.01,87.1,ok
mmpose,1012,RobotWelding,0-2-4-6,7,1976,6,0.9078,13.636,11.004,29,126.56,84.17,24.139,4.55,9.23,105.8,ok
mmpose,1012,Screwing,0-2-4-6,7,2808,10,0.7519,16.002,11.034,29,46.25,93.45,17.039,3.96,5.32,135.4,ok
mmpose,1012,SideOverhead,0-2-4-6,7,3992,7,0.9378,18.011,12.777,29,47.35,77.53,10.705,4.96,6.6,114.3,ok
mmpose,1118,Lifting,0-2-4-6,7,914,7,0.9899,13.559,10.617,29,73.7,83.74,14.625,4.37,5.92,125.2,ok
mmpose,1118,Polishing,0-2-4-6,7,2969,9,0.8272,14.465,10.078,29,83.48,99.56,13.829,4.36,5.46,135.5,ok
mmpose,1118,RobotPolishing,0-2-4-6,7,3057,7,0.809,13.04,8.064,29,38.66,106.3,11.311,4.4,5.75,132.3,ok
mmpose,1118,RobotWelding,0-2-4-6,7,2114,7,0.8408,13.611,8.826,29,42.79,104.78,10.865,4.51,6.46,125.5,ok
mmpose,1118,Screwing,0-2-4-6,7,2491,6,0.9154,14.805,9.519,29,118.04,116.31,11.448,4.41,5.65,131.8,ok
mmpose,1118,SideOverhead,0-2-4-6,7,2952,8,0.8612,16.243,12.048,29,38.94,78.59,12.287,4.55,6.81,123.4,ok
mmpose,1508,Lifting,0-2-4-6,7,1640,7,0.9959,14.155,11.881,29,74.67,64.36,14.147,4.01,20.79,85.7,ok
mmpose,1508,Polishing,0-2-4-6,7,2034,7,0.7867,13.187,10.142,29,98.97,67.41,15.128,4.56,10.24,98.2,ok
mmpose,1508,RobotPolishing,0-2-4-6,7,3128,7,0.9408,11.548,8.544,29,80.23,71.68,10.024,4.56,5.95,130.9,ok
mmpose,1508,RobotWelding,0-2-4-6,7,3025,6,0.9814,12.224,9.657,29,78.39,68.47,13.282,4.64,7.05,124.0,ok
mmpose,1508,Screwing,0-2-4-6,7,2352,10,0.8297,14.528,11.323,29,85.18,73.14,13.803,4.49,5.72,130.3,ok
mmpose,1508,SideOverhead,0-2-4-6,7,3063,8,0.8381,16.113,13.091,29,38.51,89.81,9.384,4.62,6.14,129.6,ok
mmpose,1602,Lifting,0-2-4-6,7,1410,8,0.9647,13.734,11.117,29,55.25,78.45,17.138,4.62,6.62,119.6,ok
mmpose,1602,Polishing,0-2-4-6,7,1916,9,0.8672,17.97,13.288,29,46.76,85.85,17.141,4.85,6.75,120.7,ok
mmpose,1602,RobotPolishing,0-2-4-6,7,3858,7,0.8128,13.398,9.242,29,45.36,90.56,22.915,4.76,6.4,126.2,ok
mmpose,1602,RobotWelding,0-2-4-6,7,2278,8,0.8826,12.409,8.411,29,59.04,93.73,17.266,5.2,6.32,120.2,ok
mmpose,1602,Screwing,0-2-4-6,7,2567,8,0.9166,16.212,11.198,29,73.59,84.94,15.723,3.74,9.71,114.2,ok
mmpose,1602,SideOverhead,0-2-4-6,7,3546,9,0.916,20.205,12.02,29,56.37,110.51,10.954,4.57,10.73,99.7,ok
mmpose,1847,Lifting,0-2-4-6,7,1833,8,0.9861,17.529,11.988,29,33.44,64.33,7.865,4.59,5.9,127.5,ok
mmpose,1847,Polishing,0-2-4-6,7,2493,7,0.9612,16.532,12.659,29,99.91,63.26,31.189,4.63,10.03,103.5,ok
mmpose,1847,RobotPolishing,0-2-4-6,7,4096,8,0.9882,14.377,12.776,29,97.04,58.47,28.287,4.16,7.98,119.9,ok
mmpose,1847,RobotWelding,0-2-4-6,7,3716,7,0.9825,13.724,12.301,29,95.6,61.51,24.708,4.03,5.78,139.5,ok
mmpose,1847,Screwing,0-2-4-6,7,2388,7,0.929,14.958,10.882,29,89.12,60.41,17.972,5.34,6.57,117.9,ok
mmpose,1847,SideOverhead,0-2-4-6,7,3585,8,0.8523,20.057,12.786,29,26.27,63.83,8.058,4.74,6.38,126.6,ok
mmpose,2112,Lifting,0-2-4-6,7,1594,7,0.996,16.423,12.168,29,68.5,66.63,14.743,4.87,6.6,118.1,ok
mmpose,2112,Polishing,0-2-4-6,7,1771,10,0.4394,14.329,10.689,29,44.69,59.17,11.821,4.46,6.12,128.2,ok
mmpose,2112,RobotPolishing,0-2-4-6,7,3094,10,0.7625,15.584,10.114,29,16.06,65.34,11.726,4.04,5.56,143.2,ok
mmpose,2112,RobotWelding,0-2-4-6,7,2341,11,0.4745,16.242,14.977,29,42.12,68.45,13.562,4.72,10.69,90.4,ok
mmpose,2112,Screwing,0-2-4-6,7,2964,13,0.4543,14.583,9.068,29,53.38,67.81,15.88,3.51,6.83,130.4,ok
mmpose,2112,SideOverhead,0-2-4-6,7,2348,10,0.7952,13.93,11.413,29,37.77,88.08,10.139,4.84,6.25,124.0,ok
mmpose,2198,Lifting,0-2-4-6,7,1770,7,0.997,13.204,7.742,29,37.95,61.8,7.883,4.54,6.44,123.4,ok
mmpose,2198,Polishing,0-2-4-6,7,1730,7,0.9653,13.776,11.385,29,76.81,66.84,14.647,4.61,6.13,129.2,ok
mmpose,2198,RobotPolishing,0-2-4-6,7,1797,9,0.8324,12.49,8.52,29,45.2,56.26,16.692,4.19,5.96,138.2,ok
mmpose,2198,RobotWelding,0-2-4-6,7,2444,7,0.797,13.018,9.3,29,96.26,59.28,20.382,5.48,7.36,116.2,ok
mmpose,2198,Screwing,0-2-4-6,7,1914,8,0.9567,13.365,9.805,29,61.55,68.09,16.123,4.58,6.86,122.9,ok
mmpose,2198,SideOverhead,0-2-4-6,7,3534,8,0.9188,20.378,13.455,29,36.59,67.86,11.842,4.84,6.33,126.4,ok
mmpose,2307,Lifting,0-2-4-6,7,1507,8,0.9934,13.178,9.319,29,77.41,61.42,17.148,4.52,5.61,128.0,ok
mmpose,2307,Polishing,0-2-4-6,7,2324,8,0.9354,15.209,11.233,29,51.11,70.8,10.886,4.13,10.24,91.7,ok
mmpose,2307,RobotPolishing,0-2-4-6,7,3256,9,0.9665,13.837,10.354,29,57.43,69.07,20.018,6.82,11.05,86.4,ok
mmpose,2307,RobotWelding,0-2-4-6,7,2492,8,0.91,12.162,9.252,29,41.52,74.59,15.941,3.44,5.51,148.3,ok
mmpose,2307,Screwing,0-2-4-6,7,2315,8,0.7613,13.638,8.391,29,34.76,74.33,10.018,4.54,5.53,129.8,ok
mmpose,2307,SideOverhead,0-2-4-6,7,2569,8,0.8475,21.123,14.769,29,40.74,69.54,12.535,4.58,6.2,126.3,ok
mmpose,3361,Lifting,0-2-4-6,7,720,8,0.9734,14.176,11.454,29,70.94,84.78,13.138,4.67,7.72,108.8,ok
mmpose,3361,Polishing,0-2-4-6,7,1933,7,0.9381,17.33,13.593,29,39.59,91.96,13.206,5.5,6.62,115.3,ok
mmpose,3361,RobotPolishing,0-2-4-6,7,3117,7,0.9162,14.802,12.252,29,53.84,101.28,9.181,5.58,6.77,119.1,ok
mmpose,3361,RobotWelding,0-2-4-6,7,2575,7,0.8484,15.361,12.021,29,30.98,95.68,9.62,5.69,9.14,103.2,ok
mmpose,3361,Screwing,0-2-4-6,7,1887,8,0.8785,14.026,10.788,29,35.73,89.37,14.21,5.64,8.72,106.2,ok
mmpose,3361,SideOverhead,0-2-4-6,7,3063,8,0.934,15.439,12.565,29,53.08,54.69,10.703,5.02,11.36,99.9,ok
mmpose,4162,Lifting,0-2-4-6,7,1835,8,0.9958,13.395,11.347,29,41.89,46.62,10.599,4.79,8.9,110.5,ok
mmpose,4162,Polishing,0-2-4-6,7,2483,8,0.9431,13.635,9.127,29,25.78,40.14,7.82,4.43,6.61,124.6,ok
mmpose,4162,RobotPolishing,0-2-4-6,7,2991,8,0.8423,14.134,8.654,29,23.56,46.81,8.468,4.34,12.67,110.5,ok
mmpose,4162,RobotWelding,0-2-4-6,7,2707,8,0.8985,13.657,8.599,29,25.89,48.29,9.136,6.74,27.56,60.0,ok
mmpose,4162,Screwing,0-2-4-6,7,3094,8,0.7722,16.779,9.909,29,46.99,42.99,15.479,3.76,10.9,99.0,ok
mmpose,4162,SideOverhead,0-2-4-6,7,3476,8,0.8631,16.865,14.605,29,37.99,54.06,17.662,5.17,9.3,111.2,ok
mmpose,4216,Lifting,0-2-4-6,7,976,7,0.994,13.738,10.573,29,45.2,55.97,8.987,4.14,10.14,104.0,ok
mmpose,4216,Polishing,0-2-4-6,7,1839,8,0.8818,15.852,12.056,29,15.88,52.33,18.777,4.62,9.85,111.5,ok
mmpose,4216,RobotPolishing,0-2-4-6,7,2281,9,0.9043,12.342,9.288,29,26.08,54.94,13.449,5.6,10.4,98.8,ok
mmpose,4216,RobotWelding,0-2-4-6,7,2585,9,0.8392,11.679,8.557,29,28.34,52.98,6.148,5.31,7.38,111.0,ok
mmpose,4216,Screwing,0-2-4-6,7,2170,8,0.955,14.404,7.605,29,39.47,51.91,6.362,5.25,17.11,90.0,ok
mmpose,4216,SideOverhead,0-2-4-6,7,3098,8,0.9269,25.568,16.269,29,35.14,66.66,11.959,5.71,11.51,91.3,ok
mmpose,4279,Lifting,0-2-4-6,7,2009,7,0.9614,12.269,10.755,29,29.86,68.3,8.112,4.78,10.52,103.4,ok
mmpose,4279,Polishing,0-2-4-6,7,1747,9,0.88,11.746,8.844,29,69.93,75.28,12.587,4.63,10.24,108.6,ok
mmpose,4279,RobotPolishing,0-2-4-6,7,2921,8,0.5991,11.005,8.847,29,34.6,76.16,11.695,4.61,8.11,116.6,ok
mmpose,4279,RobotWelding,0-2-4-6,7,2658,8,0.643,12.466,10.126,29,47.44,80.97,14.534,4.55,6.62,120.9,ok
mmpose,4279,Screwing,0-2-4-6,7,2825,9,0.7748,13.008,8.738,29,60.99,81.74,10.087,4.28,8.07,120.3,ok
mmpose,4279,SideOverhead,0-2-4-6,7,2819,9,0.8188,15.272,12.705,29,39.66,86.62,12.01,4.91,11.29,85.0,ok
mmpose,4509,Lifting,0-2-4-6,7,1330,8,0.9747,15.835,12.965,29,58.06,65.47,16.042,7.47,26.41,64.1,ok
mmpose,4509,Polishing,0-2-4-6,7,2125,8,0.7655,16.014,13.992,29,28.32,57.75,17.519,4.92,16.05,81.0,ok
mmpose,4509,RobotPolishing,0-2-4-6,7,2818,9,0.8887,13.036,11.035,29,42.57,60.88,14.048,5.62,13.27,97.1,ok
mmpose,4509,RobotWelding,0-2-4-6,7,2762,10,0.8348,12.939,10.714,29,27.61,65.16,12.485,5.42,6.98,111.1,ok
mmpose,4509,Screwing,0-2-4-6,7,2347,10,0.6484,15.408,10.09,29,36.68,61.31,13.356,5.64,10.02,103.2,ok
mmpose,4509,SideOverhead,0-2-4-6,7,2036,8,0.6985,19.696,13.355,29,42.46,84.66,13.826,5.21,6.72,116.2,ok
mmpose,4612,Lifting,0-2-4-6,7,1898,7,0.9928,10.69,9.376,29,48.04,59.11,8.55,3.77,5.44,146.7,ok
mmpose,4612,Polishing,0-2-4-6,7,1905,8,0.8954,14.795,12.718,29,35.16,57.07,15.734,4.8,7.57,109.4,ok
mmpose,4612,RobotPolishing,0-2-4-6,7,2906,7,0.9247,10.7,9.23,29,30.29,64.41,14.444,5.08,8.35,109.8,ok
mmpose,4612,RobotWelding,0-2-4-6,7,2228,8,0.8936,9.717,9.026,29,32.12,68.56,14.261,4.59,7.23,118.7,ok
mmpose,4612,Screwing,0-2-4-6,7,2237,7,0.9206,10.986,9.196,29,35.6,57.51,9.413,4.6,8.61,108.8,ok
mmpose,4612,SideOverhead,0-2-4-6,7,2553,9,0.7454,15.923,16.386,29,40.77,91.4,11.614,4.77,7.2,117.9,ok
mmpose,4665,Lifting,0-2-4-6,7,1751,7,0.9439,18.874,16.42,29,51.58,80.87,17.299,4.79,7.59,114.6,ok
mmpose,4665,Polishing,0-2-4-6,7,3157,8,0.9388,14.47,9.868,29,27.75,47.85,11.965,4.8,10.5,101.6,ok
mmpose,4665,RobotPolishing,0-2-4-6,7,3628,7,0.8828,15.778,11.168,29,39.91,50.33,9.731,5.0,22.7,74.3,ok
mmpose,4665,RobotWelding,0-2-4-6,7,3237,6,0.9708,16.04,11.086,29,49.52,49.66,9.673,4.64,11.29,103.7,ok
mmpose,4665,Screwing,0-2-4-6,7,3374,8,0.9414,16.508,8.414,29,38.16,50.36,9.044,4.26,6.98,121.8,ok
mmpose,4665,SideOverhead,0-2-4-6,7,3199,9,0.7245,20.559,14.567,29,58.35,111.56,13.262,5.21,10.11,106.2,ok
mmpose,4687,Lifting,0-2-4-6,7,1571,8,0.9932,13.082,11.554,29,56.27,51.58,13.108,4.82,11.06,97.7,ok
mmpose,4687,Polishing,0-2-4-6,7,1524,8,0.8792,12.649,8.326,29,76.34,47.14,8.706,4.57,11.92,104.1,ok
mmpose,4687,RobotPolishing,0-2-4-6,7,2125,8,0.8295,12.056,7.408,29,15.54,50.02,12.026,4.62,5.85,119.7,ok
mmpose,4687,RobotWelding,0-2-4-6,7,1861,8,0.879,11.367,7.375,29,19.54,48.93,13.013,4.56,7.7,112.6,ok
mmpose,4687,Screwing,0-2-4-6,7,1958,8,0.9208,11.471,6.726,29,16.54,49.88,9.389,4.74,6.32,120.5,ok
mmpose,4687,SideOverhead,0-2-4-6,7,1527,7,0.8635,15.409,13.19,29,31.98,49.67,11.438,4.9,10.67,104.1,ok
mmpose,4801,Lifting,0-2-4-6,7,1047,8,0.9952,16.261,9.927,29,49.85,88.16,11.399,5.03,10.2,98.2,ok
mmpose,4801,Polishing,0-2-4-6,7,3072,8,0.8483,13.272,8.977,29,33.04,99.53,17.369,4.47,7.18,122.1,ok
mmpose,4801,RobotPolishing,0-2-4-6,7,4132,7,0.3167,29.991,12.324,29,817.63,178.09,177.036,5.9,11.2,100.1,ok
mmpose,4801,RobotWelding,0-2-4-6,7,2493,7,0.6286,24.548,13.95,29,857.72,138.35,135.031,5.68,10.8,100.0,ok
mmpose,4801,Screwing,0-2-4-6,7,2841,8,0.776,13.346,9.198,29,37.9,109.43,21.44,4.55,19.58,82.5,ok
mmpose,4801,SideOverhead,0-2-4-6,7,4413,8,0.8511,21.844,15.498,29,36.05,78.3,12.035,4.99,16.54,92.8,ok
mmpose,4827,Lifting,0-2-4-6,7,1243,8,0.9732,15.702,11.126,29,38.06,63.49,10.619,4.85,6.53,114.0,ok
mmpose,4827,Polishing,0-2-4-6,7,1867,7,0.9011,13.507,8.502,29,59.6,61.35,15.921,4.65,10.07,108.0,ok
mmpose,4827,RobotPolishing,0-2-4-6,7,2443,9,0.4852,13.521,9.041,29,37.94,65.16,9.654,4.31,9.45,104.8,ok
mmpose,4827,RobotWelding,0-2-4-6,7,2249,8,0.5361,12.363,8.073,29,38.95,73.3,7.465,4.59,11.18,98.1,ok
mmpose,4827,Screwing,0-2-4-6,7,2307,9,0.7803,13.44,7.108,29,42.84,73.62,10.511,4.28,7.98,106.1,ok
mmpose,4827,SideOverhead,0-2-4-6,7,2644,8,0.7526,16.557,11.483,29,37.2,78.15,11.377,4.57,8.69,104.5,ok
