arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
mmpose,1012,Lifting,0-2,7,1771,7,0.9934,14.679,12.729,29,26.91,89.87,8.787,3.38,4.6,164.2,ok
mmpose,1012,Polishing,0-2,7,1889,7,0.9589,16.887,11.789,29,58.64,83.25,19.236,3.31,4.46,168.5,ok
mmpose,1012,RobotPolishing,0-2,7,2795,7,0.8995,13.913,9.246,29,40.96,78.2,6.655,3.31,4.45,174.3,ok
mmpose,1012,RobotWelding,0-2,7,1976,7,0.9425,14.935,10.08,29,137.13,75.55,17.562,3.3,4.5,172.0,ok
mmpose,1012,Screwing,0-2,7,2808,9,0.8472,17.694,12.665,29,166.79,81.4,22.581,2.92,3.97,186.1,ok
mmpose,1012,SideOverhead,0-2,7,3992,7,0.874,17.124,12.078,29,53.69,89.95,9.813,3.71,4.93,167.3,ok
mmpose,1118,Lifting,0-2,7,914,7,0.9941,12.397,9.136,29,36.64,120.71,8.355,3.32,4.33,158.1,ok
mmpose,1118,Polishing,0-2,7,2969,7,0.9099,17.123,12.177,29,86.01,136.75,16.676,3.32,4.42,176.4,ok
mmpose,1118,RobotPolishing,0-2,7,3057,7,0.8818,15.102,10.482,29,21.86,117.0,7.123,3.34,4.63,173.3,ok
mmpose,1118,RobotWelding,0-2,7,2114,8,0.8553,14.767,10.315,29,57.2,117.23,11.268,3.71,4.79,167.0,ok
mmpose,1118,Screwing,0-2,7,2491,7,0.7311,15.686,9.519,29,235.38,133.18,22.799,3.71,4.71,166.8,ok
mmpose,1118,SideOverhead,0-2,7,2952,7,0.8499,17.651,13.085,29,67.45,107.28,8.82,3.36,4.68,171.4,ok
mmpose,1508,Lifting,0-2,7,1640,8,0.9966,13.922,12.39,29,62.3,89.75,11.217,3.54,4.95,162.8,ok
