arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
mocap,1012,Lifting,0,7,1771,0,0.9999,7.114,4.302,29,3.04,0.0,5.246,2.87,3.53,294.2,ok
mocap,1012,Polishing,0,7,1889,0,0.9982,7.722,4.264,29,2.85,0.0,3.727,2.86,3.38,303.4,ok
mocap,1012,RobotPolishing,0,7,2795,0,0.9976,7.113,3.807,29,6.55,0.0,12.524,2.92,3.36,306.6,ok
mocap,1012,RobotWelding,0,7,1976,0,0.9963,6.666,3.65,29,9.17,0.0,11.26,3.2,3.56,275.6,ok
mocap,1012,Screwing,0,7,2808,0,0.9918,8.497,4.581,29,3.01,0.0,7.187,3.18,3.47,287.3,ok
mocap,1012,SideOverhead,0,7,3992,0,0.9974,11.038,6.296,29,4.66,0.0,12.848,3.52,3.74,283.0,ok
mocap,1118,Lifting,0,7,914,0,0.9998,6.217,3.306,29,8.23,0.0,2.071,2.6,3.02,285.6,ok
mocap,1118,Polishing,0,7,2969,1,0.9263,8.023,5.011,29,9.31,4.53,4.37,3.29,3.68,278.0,ok
mocap,1118,RobotPolishing,0,7,3057,0,0.9984,5.81,2.635,29,5.13,0.0,1.336,2.56,2.96,351.8,ok
mocap,1118,RobotWelding,0,7,2114,0,0.9987,6.189,2.367,29,4.3,0.0,2.05,2.56,3.16,334.3,ok
mocap,1118,Screwing,0,7,2491,0,0.9839,6.773,3.302,29,12.15,0.0,3.448,2.55,2.95,339.7,ok
mocap,1118,SideOverhead,0,7,2952,0,0.9911,7.236,3.845,29,6.71,0.0,3.586,2.8,3.29,322.1,ok
mocap,1508,Lifting,0,7,1640,0,0.9999,6.962,4.5,29,3.2,0.0,2.696,2.91,3.4,293.0,ok
mocap,1508,Polishing,0,7,2034,0,0.9625,7.775,6.14,29,18.48,0.0,7.675,3.5,3.77,259.3,ok
mocap,1508,RobotPolishing,0,7,3128,0,0.9967,7.035,4.42,29,22.83,0.0,8.296,3.0,3.65,297.0,ok
mocap,1508,RobotWelding,0,7,3025,0,0.999,6.504,3.831,29,12.38,0.0,7.846,2.91,3.05,315.9,ok
mocap,1508,Screwing,0,7,2352,0,0.9897,6.156,2.958,29,1.51,0.0,1.966,2.56,3.04,333.9,ok
mocap,1508,SideOverhead,0,7,3063,0,0.9933,7.881,5.367,29,8.07,0.0,3.707,2.92,3.41,309.4,ok
mocap,1602,Lifting,0,7,1410,0,0.9987,6.186,3.025,29,6.49,0.0,2.23,2.81,3.29,293.0,ok
mocap,1602,Polishing,0,7,1916,0,0.9902,9.16,5.309,29,13.28,0.0,6.152,3.18,3.71,273.9,ok
mocap,1602,RobotPolishing,0,7,3858,0,0.9893,9.435,7.149,29,5.87,0.0,12.174,2.91,3.2,316.3,ok
mocap,1602,RobotWelding,0,7,2278,0,0.9965,6.388,3.2,29,12.86,0.0,8.462,2.93,3.65,293.0,ok
mocap,1602,Screwing,0,7,2567,0,0.9973,6.133,2.683,29,5.6,0.0,1.215,2.55,3.14,345.0,ok
mocap,1602,SideOverhead,0,7,3546,0,0.9959,14.271,10.142,29,6.99,0.0,7.315,3.49,3.89,278.2,ok
mocap,1847,Lifting,0,7,1833,0,0.9998,6.66,5.927,29,2.66,0.0,5.758,2.78,3.11,313.8,ok
mocap,1847,Polishing,0,7,2493,0,0.9774,9.641,5.96,29,10.55,0.0,6.57,2.81,3.16,317.6,ok
mocap,1847,RobotPolishing,0,7,4096,1,0.9978,8.102,5.399,29,10.43,1.95,3.389,2.55,2.93,359.2,ok
mocap,1847,RobotWelding,0,7,3716,0,0.9961,7.799,5.195,29,5.36,0.0,3.503,2.81,3.29,329.6,ok
mocap,1847,Screwing,0,7,2388,0,0.9884,12.577,8.515,29,8.5,0.0,15.508,3.54,3.82,260.2,ok
mocap,1847,SideOverhead,0,7,3585,0,0.987,16.5,8.257,29,12.44,0.0,10.785,3.17,3.75,290.5,ok
mocap,2112,Lifting,0,7,1594,0,1.0,6.3,4.429,29,3.2,0.0,4.692,2.92,3.65,280.3,ok
mocap,2112,Polishing,0,7,1771,0,0.9909,5.59,3.897,29,1.83,0.0,4.736,3.29,3.73,263.9,ok
mocap,2112,RobotPolishing,0,7,3094,0,0.9966,6.146,3.324,29,3.81,0.0,4.943,2.97,3.73,297.3,ok
