arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf2d,1012,Lifting,0-2-4-6,7,1771,7,0.9977,13.646,9.442,29,23.11,77.22,12.209,3.55,4.31,42.0,ok
nlf2d,1012,Polishing,0-2-4-6,7,1889,7,0.9519,15.163,11.143,29,44.04,89.21,18.666,3.87,4.12,40.9,ok
nlf2d,1012,RobotPolishing,0-2-4-6,7,2795,7,0.945,13.946,9.392,29,87.18,79.09,12.393,3.53,4.26,41.8,ok
nlf2d,1012,RobotWelding,0-2-4-6,7,1976,6,0.9055,14.865,11.238,29,113.19,83.82,16.155,3.62,4.26,41.1,ok
nlf2d,1012,Screwing,0-2-4-6,7,2808,8,0.8197,16.494,11.038,29,29.01,93.58,14.585,3.46,3.93,42.4,ok
nlf2d,1012,SideOverhead,0-2-4-6,7,3992,6,0.9489,17.185,10.777,29,44.45,72.89,10.256,3.54,4.32,42.1,ok
nlf2d,1118,Lifting,0-2-4-6,7,914,6,0.9947,13.67,9.064,29,58.98,89.59,10.511,3.8,7.05,38.4,ok
nlf2d,1118,Polishing,0-2-4-6,7,2969,7,0.8997,15.2,8.392,29,42.93,102.67,7.664,3.64,5.39,40.9,ok
nlf2d,1118,RobotPolishing,0-2-4-6,7,3057,6,0.8436,13.63,8.082,29,61.52,103.05,15.992,3.29,6.37,41.1,ok
nlf2d,1118,RobotWelding,0-2-4-6,7,2114,7,0.9299,13.605,7.069,29,52.28,98.43,15.779,3.51,4.31,41.9,ok
nlf2d,1118,Screwing,0-2-4-6,7,375,4,0.7096,13.63,7.383,29,84.15,112.68,8.835,3.28,4.35,32.4,ok
nlf2d,1118,SideOverhead,0-2-4-6,7,2952,6,0.9494,14.246,7.939,29,35.56,72.5,7.518,3.53,4.26,42.1,ok
nlf2d,1508,Lifting,0-2-4-6,7,1640,7,0.9987,12.889,9.349,29,44.07,65.45,10.475,3.54,4.58,40.7,ok
nlf2d,1508,Polishing,0-2-4-6,7,2034,6,0.8301,14.76,10.896,29,20.07,75.69,14.979,4.29,4.45,41.1,ok
nlf2d,1508,RobotPolishing,0-2-4-6,7,3128,6,0.9761,13.419,8.748,29,34.18,73.35,15.122,4.27,4.55,40.8,ok
nlf2d,1508,RobotWelding,0-2-4-6,7,3025,5,0.9922,12.838,8.781,29,41.53,70.74,14.159,3.57,4.37,41.6,ok
nlf2d,1508,Screwing,0-2-4-6,7,2352,6,0.9383,14.079,8.674,29,36.27,75.28,6.521,3.18,4.18,42.4,ok
nlf2d,1508,SideOverhead,0-2-4-6,7,3063,6,0.9428,14.361,10.192,29,36.81,88.39,7.431,3.65,4.34,41.9,ok
nlf2d,1602,Lifting,0-2-4-6,7,1410,7,0.9889,13.267,9.91,29,31.04,80.14,14.747,3.58,4.36,41.0,ok
nlf2d,1602,Polishing,0-2-4-6,7,1916,7,0.9249,15.954,12.128,29,17.02,85.1,15.081,3.67,4.31,41.7,ok
nlf2d,1602,RobotPolishing,0-2-4-6,7,3858,6,0.6647,16.917,10.72,29,62.57,86.96,33.782,4.28,4.7,41.0,ok
nlf2d,1602,RobotWelding,0-2-4-6,7,2278,7,0.9087,11.688,6.462,29,41.31,85.85,22.747,4.28,4.66,41.0,ok
nlf2d,1602,Screwing,0-2-4-6,7,2567,6,0.9517,13.535,6.94,29,27.14,87.75,13.379,3.17,3.92,42.6,ok
nlf2d,1602,SideOverhead,0-2-4-6,7,3546,7,0.9717,14.664,9.282,29,47.12,104.26,8.948,4.26,4.41,41.5,ok
nlf2d,1847,Lifting,0-2-4-6,7,1833,7,0.9971,13.138,8.592,29,31.02,63.97,8.581,3.52,4.3,41.8,ok
nlf2d,1847,Polishing,0-2-4-6,7,2493,6,0.9291,15.132,9.123,29,57.59,65.15,14.114,3.53,4.0,41.4,ok
nlf2d,1847,RobotPolishing,0-2-4-6,7,4096,7,0.9776,14.078,11.273,29,72.21,67.17,15.877,3.51,3.87,42.7,ok
nlf2d,1847,RobotWelding,0-2-4-6,7,3716,6,0.9432,13.1,9.388,29,60.24,64.85,15.319,3.51,3.9,42.1,ok
nlf2d,1847,Screwing,0-2-4-6,7,2388,6,0.9428,17.946,11.924,29,44.62,71.65,9.434,3.93,4.32,41.5,ok
nlf2d,1847,SideOverhead,0-2-4-6,7,3585,7,0.955,23.52,11.378,29,23.53,56.89,8.779,3.9,4.66,41.7,ok
nlf2d,2112,Lifting,0-2-4-6,7,1594,6,0.9989,14.299,9.214,29,38.46,66.26,15.686,3.88,4.64,40.2,ok
nlf2d,2112,Polishing,0-2-4-6,7,1771,8,0.6,14.666,8.212,29,57.55,65.32,12.145,3.48,4.3,40.9,ok
nlf2d,2112,RobotPolishing,0-2-4-6,7,3094,7,0.8346,13.46,8.542,29,33.23,71.68,13.804,3.15,4.31,42.7,ok
nlf2d,2112,RobotWelding,0-2-4-6,7,2341,8,0.565,14.758,10.024,29,26.65,67.72,14.907,3.15,4.29,42.2,ok
nlf2d,2112,Screwing,0-2-4-6,7,2964,8,0.5645,14.695,6.409,29,27.51,64.18,13.195,3.16,4.26,42.0,ok
