arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf2d,1012,Lifting,0-2,7,1771,7,0.9953,15.632,11.256,29,33.79,88.52,10.924,3.8,4.32,54.5,ok
nlf2d,1012,Polishing,0-2,7,1889,6,0.9626,15.339,9.28,29,12.17,83.69,10.952,3.83,4.23,55.1,ok
nlf2d,1012,RobotPolishing,0-2,7,2795,6,0.9604,13.956,11.503,29,49.93,69.35,8.348,3.52,4.24,55.3,ok
nlf2d,1012,RobotWelding,0-2,7,1976,6,0.9413,14.858,9.848,29,134.83,77.34,20.212,3.86,4.32,53.7,ok
nlf2d,1012,Screwing,0-2,7,2808,7,0.848,15.311,9.789,29,30.7,77.57,7.059,3.85,4.38,54.0,ok
nlf2d,1012,SideOverhead,0-2,7,3992,7,0.8875,19.167,13.085,29,48.61,84.94,11.145,4.19,4.54,54.5,ok
nlf2d,1118,Lifting,0-2,7,914,6,0.9942,13.999,8.567,29,52.2,118.68,7.124,3.47,3.92,55.0,ok
nlf2d,1118,Polishing,0-2,7,2969,6,0.8942,17.225,9.089,29,61.06,141.56,6.927,3.93,4.57,53.8,ok
nlf2d,1118,RobotPolishing,0-2,7,3057,6,0.9065,17.815,10.168,29,45.92,132.06,11.773,3.89,4.35,55.2,ok
nlf2d,1118,RobotWelding,0-2,7,2114,7,0.866,16.148,9.618,29,26.02,131.48,6.718,3.88,4.98,53.2,ok
nlf2d,1118,Screwing,0-2,7,375,0,0.6686,16.671,7.446,29,293.53,146.69,30.901,3.82,4.27,39.5,ok
nlf2d,1118,SideOverhead,0-2,7,2952,6,0.8779,17.536,10.555,29,69.04,105.42,6.981,3.76,4.55,54.2,ok
nlf2d,1508,Lifting,0-2,7,1640,7,0.9976,15.358,10.467,29,39.51,82.25,11.797,3.9,4.33,55.4,ok
nlf2d,1508,Polishing,0-2,7,2034,6,0.719,15.111,10.765,29,42.3,91.87,12.944,3.94,4.77,52.7,ok
nlf2d,1508,RobotPolishing,0-2,7,3128,7,0.9651,15.758,9.23,29,49.81,80.14,11.365,3.54,4.18,55.8,ok
nlf2d,1508,RobotWelding,0-2,7,3025,7,0.987,14.763,10.941,29,11.44,82.51,7.012,3.51,3.92,57.0,ok
nlf2d,1508,Screwing,0-2,7,2352,6,0.8952,16.444,11.229,29,41.89,85.84,9.901,3.44,3.88,58.1,ok
nlf2d,1508,SideOverhead,0-2,7,3063,6,0.8092,19.693,11.632,29,52.89,89.36,8.635,3.85,4.58,56.0,ok
nlf2d,1602,Lifting,0-2,7,1410,7,0.9798,12.62,8.748,29,55.4,68.3,6.204,3.51,4.04,56.0,ok
nlf2d,1602,Polishing,0-2,7,1916,5,0.6619,29.303,17.883,29,100.58,132.52,10.938,4.0,5.44,53.8,ok
nlf2d,1602,RobotPolishing,0-2,7,3858,8,0.9106,16.155,10.576,29,33.08,74.14,11.609,3.81,4.26,56.4,ok
nlf2d,1602,RobotWelding,0-2,7,2278,6,0.93,11.659,7.889,29,35.64,72.73,5.307,3.82,4.32,55.2,ok
nlf2d,1602,Screwing,0-2,7,2567,7,0.9426,15.498,10.149,29,16.84,64.48,8.866,3.45,4.22,55.2,ok
nlf2d,1602,SideOverhead,0-2,7,3546,6,0.9046,16.017,10.037,29,43.5,85.49,8.845,4.19,4.58,54.9,ok
nlf2d,1847,Lifting,0-2,7,1833,8,0.9909,14.154,10.57,29,27.42,84.15,10.948,3.52,4.25,55.9,ok
nlf2d,1847,Polishing,0-2,7,2493,7,0.9168,15.506,8.589,29,26.42,72.29,8.1,3.49,5.1,53.6,ok
nlf2d,1847,RobotPolishing,0-2,7,4096,7,0.976,14.731,9.679,29,62.14,76.11,7.986,3.49,4.24,55.4,ok
nlf2d,1847,RobotWelding,0-2,7,3716,5,0.9265,16.176,13.157,29,81.66,75.95,12.281,3.52,4.24,56.5,ok
nlf2d,1847,Screwing,0-2,7,2388,7,0.9262,19.558,12.082,29,50.56,76.23,13.269,4.22,4.38,54.4,ok
nlf2d,1847,SideOverhead,0-2,7,3585,7,0.8625,21.758,12.319,29,45.08,70.19,10.726,4.2,4.6,54.6,ok
nlf2d,2112,Lifting,0-2,7,1594,7,0.999,14.954,10.11,29,25.49,105.3,10.956,3.82,4.56,53.9,ok
nlf2d,2112,Polishing,0-2,7,1771,4,0.9131,14.06,8.492,29,38.17,109.89,6.464,4.21,4.41,53.2,ok
nlf2d,2112,RobotPolishing,0-2,7,3094,7,0.9562,12.845,7.174,29,22.07,104.46,5.275,3.51,4.28,54.8,ok
nlf2d,2112,RobotWelding,0-2,7,2341,6,0.8138,14.748,7.74,29,41.99,112.22,8.098,3.54,4.26,54.8,ok
nlf2d,2112,Screwing,0-2,7,2964,6,0.8791,17.503,8.361,29,10.63,107.03,7.174,3.51,4.24,55.7,ok
nlf2d,2112,SideOverhead,0-2,7,2348,8,0.931,14.584,9.734,29,49.92,113.57,7.724,4.16,4.35,55.2,ok
nlf2d,2198,Lifting,0-2,7,1770,7,0.995,12.471,10.055,29,59.12,134.47,14.006,3.51,4.24,55.8,ok
nlf2d,2198,Polishing,0-2,7,1730,3,0.7529,24.239,18.811,29,97.73,174.67,12.175,3.91,5.41,53.6,ok
nlf2d,2198,RobotPolishing,0-2,7,1797,6,0.8231,16.994,11.222,29,41.2,160.26,10.132,4.22,5.02,53.4,ok
nlf2d,2198,RobotWelding,0-2,7,2444,8,0.8656,16.836,13.166,29,57.66,122.47,9.523,3.85,4.56,55.2,ok
nlf2d,2198,Screwing,0-2,7,1914,6,0.9596,14.618,11.469,29,53.67,117.12,5.845,3.5,4.24,54.8,ok
nlf2d,2198,SideOverhead,0-2,7,3534,7,0.9416,23.695,13.887,29,50.99,129.94,12.083,4.22,4.63,54.5,ok
nlf2d,2307,Lifting,0-2,7,1507,7,0.9966,14.543,11.411,29,23.85,82.29,6.698,3.82,5.16,53.1,ok
nlf2d,2307,Polishing,0-2,7,2324,8,0.9001,27.274,17.241,29,49.46,112.27,8.0,4.24,5.02,53.5,ok
nlf2d,2307,RobotPolishing,0-2,7,3256,6,0.9662,16.62,11.769,29,32.35,89.41,15.405,3.58,4.02,55.7,ok
nlf2d,2307,RobotWelding,0-2,7,2492,8,0.8969,17.791,12.932,29,21.66,95.88,8.755,3.91,4.65,54.0,ok
nlf2d,2307,Screwing,0-2,7,2315,7,0.8182,16.038,8.705,29,20.95,95.45,5.92,3.9,4.32,54.3,ok
nlf2d,2307,SideOverhead,0-2,7,2569,5,0.8264,17.7,13.431,29,47.12,74.66,10.999,3.87,4.45,54.8,ok
nlf2d,3361,Lifting,0-2,7,720,7,0.9931,12.87,8.956,29,45.28,75.13,9.186,3.51,4.24,53.8,ok
nlf2d,3361,Polishing,0-2,7,1933,6,0.7942,22.492,19.015,29,56.77,126.73,15.821,3.87,5.37,53.3,ok
nlf2d,3361,RobotPolishing,0-2,7,3117,7,0.8902,23.728,20.146,29,74.03,137.76,12.283,4.23,5.34,53.6,ok
nlf2d,3361,RobotWelding,0-2,7,2575,7,0.9537,14.756,10.276,29,19.5,94.39,7.574,4.23,4.45,54.3,ok
nlf2d,3361,Screwing,0-2,7,1887,7,0.921,19.129,10.41,29,70.9,100.71,9.885,4.16,4.46,54.0,ok
nlf2d,3361,SideOverhead,0-2,7,3063,5,0.8996,17.027,12.157,29,39.07,74.9,8.754,4.19,4.68,52.8,ok
nlf2d,4162,Lifting,0-2,7,1835,7,0.9984,13.87,9.307,29,21.5,46.49,9.425,3.47,4.09,55.2,ok
nlf2d,4162,Polishing,0-2,7,2483,7,0.8997,16.315,11.381,29,24.76,57.94,7.35,3.47,4.17,56.0,ok
nlf2d,4162,RobotPolishing,0-2,7,2991,7,0.8946,16.227,10.764,29,29.34,51.01,7.151,3.84,4.29,55.9,ok
nlf2d,4162,RobotWelding,0-2,7,2707,5,0.9262,14.466,8.364,29,22.95,55.31,6.615,3.5,4.27,56.6,ok
nlf2d,4162,Screwing,0-2,7,3094,7,0.8531,18.0,13.478,29,59.34,48.52,18.563,3.52,4.25,56.6,ok
nlf2d,4162,SideOverhead,0-2,7,3476,8,0.8529,25.704,12.112,29,30.87,56.57,12.209,3.75,4.25,55.7,ok
nlf2d,4216,Lifting,0-2,7,976,7,0.9964,13.829,8.467,29,20.72,63.84,13.009,3.46,4.19,55.3,ok
nlf2d,4216,Polishing,0-2,7,1839,6,0.9282,14.778,11.609,29,26.82,64.4,12.618,3.53,4.24,54.8,ok
nlf2d,4216,RobotPolishing,0-2,7,2281,7,0.915,13.786,8.751,29,12.67,53.8,8.51,3.57,4.21,55.3,ok
nlf2d,4216,RobotWelding,0-2,7,2585,8,0.8713,18.825,18.174,29,20.48,86.79,15.818,4.22,4.65,53.9,ok
nlf2d,4216,Screwing,0-2,7,2170,7,0.9722,13.271,5.761,29,14.62,48.24,5.182,4.22,4.46,54.1,ok
nlf2d,4216,SideOverhead,0-2,7,3098,7,0.8267,22.729,13.449,29,36.41,78.07,15.856,4.13,4.62,54.3,ok
nlf2d,4279,Lifting,0-2,7,2009,10,0.887,16.231,12.543,29,64.38,156.08,14.224,3.85,4.32,55.9,ok
nlf2d,4279,Polishing,0-2,7,1747,6,0.8607,15.601,10.916,29,31.1,122.19,8.282,3.5,4.1,56.3,ok
nlf2d,4279,RobotPolishing,0-2,7,2921,6,0.7711,12.404,8.819,29,52.92,123.56,7.305,3.51,4.07,56.3,ok
nlf2d,4279,RobotWelding,0-2,7,2658,6,0.9185,13.902,10.13,29,63.38,123.03,8.747,3.47,4.19,56.1,ok
