arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf,1012,Lifting,0-2-4-6,7,1771,7,0.9987,12.512,8.442,29,19.76,53.36,9.195,3.67,5.13,26.9,ok
nlf,1012,Polishing,0-2-4-6,7,1889,7,0.9808,13.811,8.637,29,36.14,59.52,13.238,3.23,4.32,32.9,ok
nlf,1012,RobotPolishing,0-2-4-6,7,2795,7,0.9778,11.332,6.007,29,55.58,52.04,12.253,3.58,4.54,30.8,ok
nlf,1012,RobotWelding,0-2-4-6,7,1976,6,0.9693,12.343,7.786,29,32.3,53.82,12.255,3.94,4.56,32.5,ok
nlf,1012,Screwing,0-2-4-6,7,2808,7,0.9288,14.663,9.199,29,21.18,62.14,9.001,3.24,4.25,32.6,ok
nlf,1012,SideOverhead,0-2-4-6,7,3992,7,0.9743,16.491,9.662,29,20.28,53.32,6.329,3.95,4.68,31.9,ok
nlf,1118,Lifting,0-2-4-6,7,914,6,0.9952,11.546,7.195,29,63.87,47.62,7.035,3.34,3.92,34.3,ok
nlf,1118,Polishing,0-2-4-6,7,2969,6,0.84,14.727,7.318,29,42.49,61.37,11.279,4.28,4.8,30.7,ok
nlf,1118,RobotPolishing,0-2-4-6,7,3057,7,0.8441,12.653,5.621,29,30.34,57.41,5.305,3.23,3.95,33.4,ok
nlf,1118,RobotWelding,0-2-4-6,7,2114,7,0.9299,12.653,5.968,29,24.94,53.64,4.188,3.25,4.04,31.3,ok
nlf,1118,Screwing,0-2-4-6,7,375,4,0.6864,13.36,6.624,29,134.56,49.99,17.002,3.21,3.7,25.5,ok
nlf,1118,SideOverhead,0-2-4-6,7,2952,6,0.9206,13.702,7.527,29,33.64,50.32,6.712,3.57,4.41,31.6,ok
nlf,1508,Lifting,0-2-4-6,7,1640,7,0.9983,12.644,8.541,29,23.73,49.45,9.572,3.61,4.69,30.1,ok
nlf,1508,Polishing,0-2-4-6,7,2034,6,0.6478,13.857,7.381,29,90.67,59.06,20.445,3.96,4.53,32.8,ok
nlf,1508,RobotPolishing,0-2-4-6,7,3128,5,0.9566,11.377,5.941,29,164.93,53.69,27.091,4.04,4.96,30.7,ok
nlf,1508,RobotWelding,0-2-4-6,7,3025,6,0.9757,11.688,7.118,29,42.22,47.22,16.552,3.67,4.19,33.3,ok
nlf,1508,Screwing,0-2-4-6,7,2352,6,0.8076,12.21,6.73,29,44.7,47.47,9.099,3.29,4.41,32.4,ok
nlf,1508,SideOverhead,0-2-4-6,7,3063,7,0.9613,13.331,9.086,29,37.83,58.22,8.766,3.94,4.84,30.3,ok
nlf,1602,Lifting,0-2-4-6,7,1410,7,0.9752,11.66,7.141,29,20.52,48.71,5.484,3.66,4.47,32.4,ok
nlf,1602,Polishing,0-2-4-6,7,1916,7,0.9467,15.508,9.897,29,36.32,64.53,10.916,3.91,5.04,29.0,ok
nlf,1602,RobotPolishing,0-2-4-6,7,3858,6,0.9186,14.111,8.253,29,22.23,47.47,12.108,3.68,4.49,31.5,ok
nlf,1602,RobotWelding,0-2-4-6,7,2278,7,0.9572,10.967,6.468,29,40.22,42.66,8.294,4.09,4.98,28.4,ok
nlf,1602,Screwing,0-2-4-6,7,2567,6,0.9645,13.383,6.723,29,65.46,49.32,9.889,3.58,4.75,30.7,ok
nlf,1602,SideOverhead,0-2-4-6,7,3546,7,0.9775,18.297,9.471,29,26.29,52.07,8.536,4.27,5.05,30.1,ok
nlf,1847,Lifting,0-2-4-6,7,1833,7,0.9916,12.153,7.902,29,17.67,48.11,7.486,3.56,4.39,30.1,ok
nlf,1847,Polishing,0-2-4-6,7,2493,7,0.9536,14.878,7.37,29,61.26,55.19,8.017,3.52,4.53,30.1,ok
nlf,1847,RobotPolishing,0-2-4-6,7,4096,7,0.96,13.978,11.607,29,73.72,50.71,6.047,3.64,4.52,31.9,ok
nlf,1847,RobotWelding,0-2-4-6,7,3716,6,0.9534,12.432,7.96,29,46.28,44.78,4.125,3.87,4.9,30.0,ok
nlf,1847,Screwing,0-2-4-6,7,2388,7,0.9168,17.941,9.57,29,40.29,48.72,9.297,4.28,4.8,31.0,ok
nlf,1847,SideOverhead,0-2-4-6,7,3585,7,0.9509,19.58,11.052,29,25.9,50.64,9.562,4.05,4.89,30.4,ok
nlf,2112,Lifting,0-2-4-6,7,1594,6,0.9983,11.466,7.413,29,24.04,51.16,8.074,3.82,5.43,31.4,ok
