arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf,1012,Lifting,0-2,7,1771,7,0.9984,13.15,9.598,29,45.48,78.56,11.752,3.47,4.21,56.3,ok
nlf,1012,Polishing,0-2,7,1889,7,0.962,14.675,8.448,29,40.27,92.8,12.095,3.14,4.25,56.2,ok
nlf,1012,RobotPolishing,0-2,7,2795,6,0.9552,12.675,6.182,29,53.71,96.34,8.894,3.68,4.23,55.8,ok
nlf,1012,RobotWelding,0-2,7,1976,6,0.9413,13.373,8.917,29,38.0,103.83,11.087,3.88,4.29,55.3,ok
nlf,1012,Screwing,0-2,7,2808,7,0.9173,15.092,8.913,29,98.93,112.16,6.482,3.86,4.43,54.7,ok
nlf,1012,SideOverhead,0-2,7,3992,7,0.9482,16.433,8.996,29,40.89,78.37,6.949,3.82,4.28,56.1,ok
nlf,1118,Lifting,0-2,7,914,6,0.9906,11.59,7.967,29,121.33,126.83,8.791,3.45,4.21,55.2,ok
nlf,1118,Polishing,0-2,7,2969,7,0.8313,14.942,8.88,29,112.42,175.8,19.989,3.88,4.32,55.5,ok
nlf,1118,RobotPolishing,0-2,7,3057,7,0.9102,12.199,6.031,29,72.66,114.8,6.147,3.1,3.83,57.7,ok
nlf,1118,RobotWelding,0-2,7,2114,7,0.9638,12.32,5.907,29,76.2,100.74,6.228,3.09,3.88,57.7,ok
nlf,1118,Screwing,0-2,7,375,4,0.6905,12.894,5.914,29,159.86,130.38,24.077,3.39,4.46,38.5,ok
nlf,1118,SideOverhead,0-2,7,2952,6,0.9178,13.497,7.9,29,77.83,98.11,7.484,3.52,4.28,56.4,ok
nlf,1508,Lifting,0-2,7,1640,7,0.9984,12.564,7.77,29,74.7,94.2,13.995,3.52,4.28,54.0,ok
nlf,1508,Polishing,0-2,7,2034,6,0.5767,12.27,9.347,29,176.19,181.83,39.683,3.52,4.24,56.1,ok
