arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf,1012,Lifting,0,7,1771,6,0.9974,13.483,9.647,29,73.18,98.05,15.175,3.37,4.07,71.0,ok
nlf,1012,Polishing,0,7,1889,6,0.9305,15.154,8.87,29,90.38,104.93,16.107,3.31,4.08,71.3,ok
nlf,1012,RobotPolishing,0,7,2795,5,0.9168,13.419,8.104,29,64.97,103.41,9.073,3.66,4.06,71.0,ok
nlf,1012,RobotWelding,0,7,1976,5,0.9308,13.84,9.629,29,53.35,111.43,11.905,3.72,4.19,69.4,ok
nlf,1012,Screwing,0,7,2808,8,0.9101,15.292,9.245,29,156.85,126.29,9.308,3.67,4.02,70.5,ok
nlf,1012,SideOverhead,0,7,3992,6,0.944,17.248,9.616,29,44.95,86.48,8.283,3.71,4.21,70.5,ok
nlf,1118,Lifting,0,7,914,6,0.9862,12.078,8.185,29,120.04,134.02,9.636,3.32,3.94,69.5,ok
nlf,1118,Polishing,0,7,2969,7,0.8114,15.388,9.033,29,119.18,181.6,20.579,3.39,4.02,71.2,ok
nlf,1118,RobotPolishing,0,7,3057,7,0.8236,13.051,7.179,29,100.24,159.72,7.198,2.98,3.69,73.4,ok
nlf,1118,RobotWelding,0,7,2114,8,0.9468,13.323,6.533,29,103.73,128.15,8.527,3.0,3.68,72.4,ok
nlf,1118,Screwing,0,7,375,2,0.6918,13.456,6.846,29,209.04,157.92,33.826,3.01,4.07,47.4,ok
nlf,1118,SideOverhead,0,7,2952,6,0.9072,13.941,8.139,29,100.85,112.09,8.053,3.35,4.1,71.3,ok
nlf,1508,Lifting,0,7,1640,7,0.9983,12.813,8.303,29,89.48,98.38,14.764,3.36,4.04,70.5,ok
nlf,1508,Polishing,0,7,2034,6,0.5839,12.909,9.625,29,190.71,197.92,47.311,3.66,4.14,69.5,ok
nlf,1508,RobotPolishing,0,7,3128,7,0.9396,12.223,8.967,29,523.55,131.6,73.96,3.76,4.24,69.6,ok
nlf,1508,RobotWelding,0,7,3025,7,0.9476,11.687,8.763,29,129.64,113.46,33.389,3.38,4.1,70.8,ok
nlf,1508,Screwing,0,7,2352,6,0.7833,12.576,8.524,29,111.17,118.46,18.306,2.98,3.65,72.8,ok
nlf,1508,SideOverhead,0,7,3063,6,0.8985,13.617,9.391,29,53.47,96.23,8.782,3.63,4.11,70.8,ok
nlf,1602,Lifting,0,7,1410,7,0.973,11.642,7.613,29,81.59,124.48,9.845,3.31,4.02,70.6,ok
nlf,1602,Polishing,0,7,1916,5,0.9038,16.551,10.093,29,71.2,190.79,20.337,3.37,3.82,70.6,ok
