Frame_0,RASI_x,RASI_y,RASI_z,LASI_x,LASI_y,LASI_z,RPSI_x,RPSI_y,RPSI_z,LPSI_x,LPSI_y,LPSI_z,C7_x,C7_y,C7_z,RSHO_x,RSHO_y,RSHO_z,LSHO_x,LSHO_y,LSHO_z,RELB_x,RELB_y,RELB_z,LELB_x,LELB_y,LELB_z,RMELB_x,RMELB_y,RMELB_z,LMELB_x,LMELB_y,LMELB_z,RWRI_x,RWRI_y,RWRI_z,LWRI_x,LWRI_y,LWRI_z,RMWRI_x,RMWRI_y,RMWRI_z,LMWRI_x,LMWRI_y,LMWRI_z,RKNE_x,RKNE_y,RKNE_z,LKNE_x,LKNE_y,LKNE_z,RMKNE_x,RMKNE_y,RMKNE_z,LMKNE_x,LMKNE_y,LMKNE_z,RANK_x,RANK_y,RANK_z,LANK_x,LANK_y,LANK_z,RMANK_x,RMANK_y,RMANK_z,LMANK_x,LMANK_y,LMANK_z,R5MHD_x,R5MHD_y,R5MHD_z,L5MHD_x,L5MHD_y,L5MHD_z,RTOE_x,RTOE_y,RTOE_z,LTOE_x,LTOE_y,LTOE_z,RHEE_x,RHEE_y,RHEE_z,LHEE_x,LHEE_y,LHEE_z,Nose_x,Nose_y,Nose_z,Head_x,Head_y,Head_z,REar_x,REar_y,REar_z,LEar_x,LEar_y,LEar_z,REye_x,REye_y,REye_z,LEye_x,LEye_y,LEye_z
0,-0.7053909400283558,-0.31122545068223423,0.9836579437964694,-0.4371334258496349,-0.3330040405636224,0.9656700131241587,-0.612957312781075,-0.09763241775466286,1.003216244955047,-0.4848413020642501,-0.1105475188037835,0.998153044792221,-0.5353217173966142,-0.1547976967582502,1.48755286994407,-0.7225791792268024,-0.21040564945414056,1.4463166178465594,-0.36744435806195347,-0.24507563134053462,1.4490585387410662,-0.8376114110947692,-0.19943073206178777,1.137941013930571,-0.2757478177863384,-0.2438824235891241,1.1239923460976697,-0.7647206202322555,-0.14956390908662617,1.104448689106163,-0.3331104044827048,-0.1796420594599059,1.1020758432769449,-0.9022447602146877,-0.26175994923573065,0.9051188394625201,-0.26947609660479516,-0.3194913955133825,0.8914132340711326,-0.9053609359871526,-0.22458525991040382,0.8880043094394547,-0.2546922579637993,-0.2861867625799574,0.8782172360051625,-0.7620779590896475,-0.21001815713750832,0.5280049309620722,-0.3835302814698605,-0.21679342122450215,0.5161347067430182,-0.6333865324062914,-0.22145133054566218,0.50995409002984,-0.5085924173673445,-0.21330474718242579,0.5077081503204607,-0.7933090218228015,-0.16526251099365355,0.08849601450088446,-0.38736487636166156,-0.1665226259557736,0.0769509702421077,-0.7333118214329706,-0.1937968074084818,0.07575013821272332,-0.4550652516297629,-0.19091766066852425,0.0717832324129622,-0.865651082796185,-0.3059175221482012,0.035498029867439905,-0.3355407809516424,-0.31457996070951183,0.024397931445303347,-0.8124022435840252,-0.38301746790803504,0.026637890649133814,-0.393593947370755,-0.37720882478237,0.025057778897400032,-0.7428240537399194,-0.11130288117524062,0.033923972130305104,-0.43415205671876855,-0.11181751688848615,0.04013108943516855,-0.5669216799822379,-0.39387689211340343,1.5842432729249374,-0.5577563554068726,-0.2626227775053375,1.755301885069286,-0.6283516943694668,-0.2500235820946759,1.615432580117826,-0.4752117564452173,-0.2736408468994205,1.620999818987804,-0.5957011510764837,-0.35771154794854737,1.6335848198265623,-0.5292754245245649,-0.3664495994980166,1.637328398419517
1,-0.7053869793865414,-0.311137697989565,0.9836604192526128,-0.4371378081273696,-0.33290430474317767,0.9656750997238726,-0.6129603912373084,-0.09754129517888523,1.0032170718492752,-0.4848468290190494,-0.11045064675510544,0.9981560289651977,-0.5353298797277575,-0.1547223546238239,1.4875600250427086,-0.7225863317115084,-0.21034673903847417,1.4463208093949262,-0.367447908807317,-0.2450020442973251,1.4490588755912601,-0.8376050611581054,-0.1993858087078666,1.1379392898137086,-0.2757500196673252,-0.24381500419161847,1.1239892400485287,-0.7647199490723474,-0.14950826100948023,1.1044481877660763,-0.3331163422853169,-0.17957074245797242,1.1020719073175047,-0.9022363357181893,-0.2617122005422981,0.905135827438878,-0.2694890194220123,-0.3194547661597692,0.8914302888187147,-0.9053545681649224,-0.2245378195114546,0.8880164508965582,-0.2547101560803369,-0.28615405914590397,0.8782236021231976,-0.7620706388991315,-0.20995790270721243,0.5280095454024154,-0.383536635838978,-0.21672299434311065,0.5161403116552573,-0.6333792979804995,-0.22138402758268455,0.5099585429440383,-0.5085956399381675,-0.21323796074097454,0.5077125206149123,-0.7933026698363279,-0.16521270354013415,0.088487917093653,-0.3873528924920402,-0.16646021528578206,0.07694042651772523,-0.7333048891100785,-0.19374970111275136,0.07574295841927106,-0.4550551835612241,-0.1908596868272634,0.0717718539276236,-0.8656463366885114,-0.30587305253077574,0.03549684203999466,-0.335534112011213,-0.31452748555427495,0.02438311260333813,-0.8123987436226067,-0.3829746280211408,0.026634650476613928,-0.39360740454808624,-0.3771549089017269,0.025052278320129358,-0.7428208407201523,-0.11125548370051558,0.03391926583899356,-0.4341335287497128,-0.11175282659187036,0.040118808595739366,-0.5669578035130841,-0.3938093077952687,1.5842326830818627,-0.557784061860063,-0.26256308580926485,1.7552938874590187,-0.6283708750669562,-0.2499539157256029,1.6154275033601473,-0.4752258682871539,-0.2735863891618809,1.6209983506060055,-0.5957383734583007,-0.3576433472456398,1.6335724969952992,-0.5293114068760694,-0.3663899435829954,1.637314424170949
2,-0.7053773585218099,-0.3106564409297597,0.983661724680701,-0.4371822258518803,-0.33236536581830833,0.965696907859446,-0.6129826596043026,-0.097041622123495,1.0032174635633402,-0.4848846122674482,-0.10992246321494914,0.9981699011397233,-0.5353904315334759,-0.15430697767605783,1.4875948046685141,-0.722637413312302,-0.21002660932485065,1.446341079024923,-0.36748327469845654,-0.24460360429820335,1.4490633934372694,-0.8375859099250669,-0.19916013873642763,1.1379215746763602,-0.2757868263179508,-0.24346699482826054,1.1239736724583127,-0.764739498511662,-0.14921648166245682,1.1044364273235445,-0.33316887697118036,-0.17919272350996646,1.1020473002306685,-0.9022027945898476,-0.26148286903797147,0.9052338341563971,-0.2696047071635361,-0.31931924060787287,0.8915408559496006,-0.9053363313728415,-0.2243107296630442,0.8880868663095942,-0.25484936940304603,-0.2860437140268922,0.8782690128409241,-0.7620401568946663,-0.20962796028324127,0.5280280939736691,-0.38359385992629497,-0.21634859015748364,0.5161655470405567,-0.6333499125946732,-0.22101575443066193,0.5099752376304115,-0.5086350234232784,-0.21287386377484518,0.5077283806259445,-0.7932660152185331,-0.16495748764205231,0.08843274712793882,-0.3872875697466289,-0.16613916410371843,0.07687018660205999,-0.7332683212539723,-0.1935133924628887,0.07569310547533344,-0.45500125658936463,-0.19055657971356826,0.07169770620187006,-0.8656383925944082,-0.30563501155218215,0.035485895361857665,-0.33551888995068135,-0.31426599328290816,0.02429198441553131,-0.8124040483473152,-0.3827475499381867,0.026611013328699154,-0.39372233262077827,-0.3768848003862578,0.02502091442309026,-0.7427996357053106,-0.11101953625861574,0.03388488357261691,-0.4340206688237936,-0.11141237356993948,0.040039522649099685,-0.5672110449676043,-0.3934290435542578,1.5841770806224917,-0.5579645853792964,-0.2622239294677863,1.7552420872359722,-0.6284994483866064,-0.2495534024876434,1.6153972678229471,-0.4753286446621528,-0.27330090758920317,1.620989336623196,-0.5959912131496823,-0.35724746249547573,1.633505357163085,-0.5295600841672511,-0.36605938209796773,1.6372353116443545
3,-0.7054255741200273,-0.30991812109158695,0.9836143466331595,-0.43734849246091273,-0.33157676499183303,0.9657053039674431,-0.6130503244390173,-0.0962783902966931,1.0031977780066412,-0.4849847323368341,-0.10912870106554665,0.9981750913035156,-0.5355643986512145,-0.15362935496914157,1.4876234565074133,-0.7227825083390483,-0.20951075749969555,1.4463585918470574,-0.3676277370440653,-0.24398725891698486,1.4490903870407956,-0.8376387467455736,-0.19889719793528873,1.1378604261791077,-0.2759721944355399,-0.24303910987337055,1.1239666034497078,-0.764883844872769,-0.14882002429653535,1.1043780637472551,-0.3333477953109458,-0.17868288918980435,1.1020013528120287,-0.9022079990293616,-0.26129803237110616,0.9054007390311241,-0.27001632715645485,-0.3194202641819209,0.8917867610503537,-0.9053820234557137,-0.22413375990133477,0.8882055376467816,-0.2552745412314502,-0.28620484124486745,0.878389073562651,-0.7620483023747964,-0.20913511807015522,0.5280239581459263,-0.38378780714075894,-0.21583085296113652,0.5161782404443975,-0.6333625022788809,-0.22046578794498528,0.5099647259366403,-0.5087962559916323,-0.21232824352304203,0.5077158766928539,-0.7932150652392875,-0.16464685130564327,0.08830390309585415,-0.3872165240241839,-0.16575650368626296,0.07670788675446345,-0.733232546744242,-0.19324880209744147,0.07557441125901276,-0.4549479334100879,-0.19017483238490937,0.07153486404914251,-0.865725785977081,-0.30529221279392427,0.03544883398061398,-0.335613445855814,-0.3139958069839502,0.024124153959010446,-0.8125451247487773,-0.38242974523004464,0.02655184495161947,-0.39409123275882063,-0.37660040401084066,0.024981010943513685,-0.7427587337444295,-0.11076585986487461,0.03379611894716742,-0.4338263408488819,-0.11097465433860551,0.03986334683162643,-0.5678358585414156,-0.39276099155257904,1.584140698599946,-0.5583621945864135,-0.2615853768340107,1.7551374175800014,-0.6288062036583368,-0.24881150848619377,1.6153498648999518,-0.4756109181868061,-0.2728592376988188,1.6209802507965232,-0.5965891325623014,-0.3564923304019886,1.6334331060383056,-0.5301640488301803,-0.3654812424676384,1.6371325829658034
4,-0.705547567259323,-0.30845324537866803,0.9835518542204464,-0.4376882755958526,-0.33001807400809,0.9657336319379733,-0.6132150218576717,-0.09477705452301105,1.003160956620181,-0.4852115071459064,-0.10756527707053024,0.9981729508127585,-0.5359400502660582,-0.15217289626301045,1.4876738469398592,-0.7231168194472558,-0.20834552823446026,1.4463981699254418,-0.3679765496743552,-0.24265925159919163,1.449177420640619,-0.8377747751467417,-0.19833253261894113,1.1377662800484172,-0.27639503818661,-0.24221555252886667,1.1239951946373787,-0.7651837699247789,-0.14800111450642459,1.1042795008446724,-0.3337275584532502,-0.17771388260725313,1.1019408148928909,-0.9022026087931401,-0.2609915513017665,0.9057106277454119,-0.27094326749836845,-0.3196552557133664,0.8922767417452055,-0.9054507703951029,-0.22384941153987217,0.8884171475969551,-0.2562101729250533,-0.28657987187377976,0.8786447022411663,-0.7620988692356808,-0.20818803848673403,0.5280119667272831,-0.3841691399230831,-0.214816920285941,0.5161984255753225,-0.6334219046526826,-0.21941344074906377,0.5099407740410656,-0.5091050141697293,-0.2112586163608075,0.5076926084309498,-0.7931655670304358,-0.16400407546066112,0.08806151182850018,-0.38717153575337404,-0.16503951719275528,0.07639609300881262,-0.7332130744106138,-0.19268751135235182,0.0753558708033534,-0.45492463027494956,-0.18946454151061926,0.07122787544476766,-0.8659537913414974,-0.30457292248269646,0.035371102223974805,-0.3358601460844828,-0.31349182923773644,0.023855795543994484,-0.8128941906976033,-0.38175411479659144,0.026446434591008386,-0.39481605776396855,-0.37606955824733507,0.02494961695335871,-0.7427042114031228,-0.11022992483519527,0.03362475014441844,-0.4335519874667901,-0.11016821592771905,0.039514161451246504,-0.5689926430254854,-0.39128870402182026,1.58422035882678,-0.5591107156151124,-0.2600813894151297,1.7549894958355892,-0.6294190014705731,-0.24718588320503626,1.615301165914361,-0.4761969244236187,-0.27173733035880393,1.6210081962855474,-0.5977088443161072,-0.3548238478829573,1.633405163707288,-0.5312960155388601,-0.3641270229199879,1.6370545474946474
5,-0.7058092845336361,-0.3069045036668323,0.9834111383905066,-0.4382328142662791,-0.32845886994892376,0.9657122391496541,-0.6134521106519877,-0.09321724061175464,1.0031115069716472,-0.48554182591588596,-0.10597151021023578,0.9981555250392926,-0.5365104782049146,-0.15053271879216365,1.4877148126650372,-0.7236259608447007,-0.2070300082104606,1.4464549663370083,-0.36855165239175536,-0.24123772792431977,1.4493502901988269,-0.8380702169904889,-0.19790909622303304,1.1376541852898792,-0.2771347749209306,-0.24159475787297724,1.1241048896305381,-0.7656758721009338,-0.1472731464555598,1.1041518804110506,-0.3343521048064561,-0.17687491474850914,1.1019181808717438,-0.902275131154002,-0.2610235321660729,0.9060723233853603,-0.27250151670711587,-0.32059445238245693,0.8930184668846547,-0.9056305757072747,-0.22391559723462018,0.8886659200315574,-0.2577270185358274,-0.2877341568627259,0.8790874608612326,-0.7622598131096144,-0.20716586902596368,0.5279359395679294,-0.38472608892265936,-0.21388951907468187,0.5161475135603161,-0.6336034933113522,-0.21832428615232669,0.5098325393120776,-0.5095745865705181,-0.21016070371528298,0.5075838514499522,-0.7931346294309611,-0.1633890860747673,0.08767978736715164,-0.38717564017359024,-0.16451879493841406,0.07594987584432676,-0.7332493734416375,-0.19218983542505774,0.0750106999496497,-0.45494987986598295,-0.18886857566773163,0.07078645540810542,-0.866407525615925,-0.3037349257103382,0.03521788312578669,-0.33630693581102994,-0.3132262550544125,0.02352295414425344,-0.8135562801301078,-0.3809709190710583,0.02626978662858004,-0.39588833224161757,-0.37574130401340944,0.024926434541956463,-0.7426111311593987,-0.10977087067884085,0.033330289856095846,-0.43322545029486176,-0.10948418128815132,0.039018120296478324,-0.5706374388989851,-0.3895324638084372,1.584509925420082,-0.5601529283232864,-0.2581826898231035,1.7548805176331714,-0.6302892303035951,-0.2451718169117005,1.615301038082765,-0.4770805453321247,-0.27047167257695914,1.6211205137868916,-0.5992748439233149,-0.35272251108365077,1.633516901646869,-0.5329004471738401,-0.36249271020949236,1.637114452131795
6,-0.7061414047429466,-0.30539301900738774,0.9832793531388648,-0.43886106135782554,-0.32698564335678504,0.9656651430334419,-0.6137182968629465,-0.0917646449648313,1.003067849647042,-0.48592707268167135,-0.1044924879281987,0.998117092330192,-0.5371671013093529,-0.14877698800862615,1.4877453040639252,-0.7242370501450489,-0.20551169119341867,1.4465385353538303,-0.3693101247964464,-0.23975569696060495,1.4496452562808242,-0.8384566889951727,-0.19749205848211648,1.137577446495072,-0.2781126312892892,-0.24115006587513926,1.1243553930652121,-0.7662191284685426,-0.14659071412433378,1.1040471186940255,-0.3351100215467797,-0.17618184657067526,1.1020053664623761,-0.9023676009365751,-0.26127554266429376,0.906409073592373,-0.27455515329916436,-0.3218694861895426,0.8939127435924449,-0.9058176743444192,-0.22422285306946257,0.8888681518076254,-0.2596691107549469,-0.28928106555101685,0.8797005192579326,-0.7625294531203677,-0.20614501200525018,0.527823989241169,-0.38531317303512164,-0.2130446536777388,0.5160358096549647,-0.6339106528566649,-0.2172993658870665,0.5096776183780034,-0.5100570299270559,-0.20907817601623072,0.5074136592038243,-0.7931573258206609,-0.16272674783145305,0.08724728303360477,-0.3872945195085645,-0.16417672125483834,0.07545718523736246,-0.733371944043458,-0.19168338619879774,0.07462743486283692,-0.45505679739028526,-0.18841102091902862,0.07030407367121272,-0.8670849867874699,-0.30274515757137127,0.03500259515045405,-0.33682541661349175,-0.3131083101632173,0.02325183240875639,-0.8145147945141642,-0.3800317383385233,0.02606166108862344,-0.39697523306763344,-0.37555086917454755,0.02496036103504526,-0.7424990341150393,-0.10929193176340368,0.032986138568554896,-0.43301285413357066,-0.10898051732441126,0.038455921135418326,-0.5723775634687884,-0.3875428188220691,1.5851229765588999,-0.5612345436047643,-0.25586828400889644,1.7549090847341322,-0.6312387642090729,-0.2428387910284307,1.6154093578125877,-0.47811598923032117,-0.2689408193092265,1.6213629877761768,-0.6009208649054691,-0.35027804266849016,1.6338844288098522,-0.5346089340571257,-0.36055126922618397,1.6374480769569368
7,-0.7064262647876627,-0.3041374017932558,0.98319055813569,-0.4393568779628686,-0.32579708955701653,0.9656031172686548,-0.6138960742841106,-0.09061234165424258,1.0030682156959303,-0.48623198421866765,-0.10331560296263058,0.9980987409551398,-0.53771078775456,-0.14729576227126018,1.487815977232849,-0.7247596796260141,-0.20413121870829337,1.4466719311358007,-0.3700230608298053,-0.23854586872438796,1.4500005258022814,-0.8387675378036367,-0.19703909174668868,1.1376184766461288,-0.2790777373682274,-0.240855827932803,1.1247087483590819,-0.7665998534966935,-0.14600101983707509,1.1040650625799517,-0.33580416047300055,-0.17563783170339492,1.1022409901192813,-0.9023359513841376,-0.2613703305907296,0.906596670749816,-0.2766518417951166,-0.32297587145389317,0.89480072441313,-0.9058477160921474,-0.22436988167478625,0.8889579562811487,-0.2616112348389329,-0.2906521017459963,0.880394123718858,-0.7628149938947993,-0.20517642067254604,0.5277253497413923,-0.38567876729627015,-0.2123169115136462,0.515894521290839,-0.634233420254487,-0.2164330852162,0.5095104043714779,-0.5103319439395159,-0.20809642511184873,0.5072135039257714,-0.7931733658625367,-0.16196162759583646,0.08683595717593474,-0.38736971686858823,-0.16379829593377424,0.07505811717544737,-0.733502037049359,-0.19103967361237076,0.07426956352631427,-0.45509780884990214,-0.18788653285721113,0.06989331488873217,-0.8677227344846664,-0.30160739323911573,0.034757549793642914,-0.3371134369559693,-0.3128530789816266,0.023112474871732694,-0.8154419373705212,-0.3789273544231117,0.025846947738874044,-0.3976229807344506,-0.3752082346752483,0.02502530841481682,-0.7423186770251224,-0.10865649619367973,0.03262666064286403,-0.4328548959577969,-0.10848009959051244,0.0379786190975932,-0.5736784032538407,-0.38585250947316296,1.5858040744144026,-0.5621091086816297,-0.2538249341481392,1.7550891781536555,-0.6319997816258682,-0.2407974918988352,1.6155883449662607,-0.4790113827835457,-0.26756733462591775,1.6216837805829938,-0.6021577243828915,-0.3481658066995149,1.6343470300349516,-0.5359185362129761,-0.35884501696030763,1.6379339391040253
8,-0.7065300481009111,-0.30332250988952314,0.9831683370526443,-0.43957365332465376,-0.32504426838962275,0.9655426665817517,-0.6138663790356256,-0.08997377354864776,1.0031357125652622,-0.48632634469987424,-0.10264858091546541,0.998145776729133,-0.537970086952582,-0.14650215930704655,1.4879410991879265,-0.7250259389103638,-0.20324457975198224,1.446815920911596,-0.3705182366408588,-0.23796966034321565,1.4503472564700801,-0.838861325781024,-0.19655059336436584,1.1377505622275872,-0.2797833918202399,-0.24071042801214151,1.1251291500714453,-0.7666335255302177,-0.14557432284704716,1.1042059742904802,-0.3362529955598331,-0.175271090904012,1.1026217321089489,-0.9021368400768854,-0.2610871345874569,0.9066052850591669,-0.2783038340313635,-0.3235130358945029,0.8955620526456388,-0.9056530990151426,-0.22412593846167467,0.8889154230701763,-0.26310592949881517,-0.2913730809163355,0.8810922710921024,-0.7629961365356457,-0.20435170537986622,0.5276837477604391,-0.3856751236643186,-0.21171258093898862,0.5157904379456492,-0.6344485747906939,-0.21581492556578155,0.5094066037296716,-0.510267740763396,-0.20730102764043565,0.5070565229222234,-0.793062796918152,-0.161123462584955,0.08655795042530587,-0.38722411123359396,-0.1632581335325769,0.07489676313120933,-0.733503837147016,-0.19033549713795486,0.07404782664078431,-0.45489496208391816,-0.18723149640268955,0.06969088055805378,-0.8681126549292585,-0.3004415600134218,0.03455878738294303,-0.3368700779275688,-0.3122845071819595,0.02313968606778696,-0.8160785916729136,-0.3777742665102366,0.025685869146087677,-0.39747221038058517,-0.37456761280332496,0.025109336687578917,-0.7420048341579726,-0.10791854767375149,0.03237918070428396,-0.4326425318575532,-0.10792649194634774,0.03774806221676065,-0.5743354798904203,-0.3849178729728328,1.5862686911469515,-0.5626014867930317,-0.25269880598815064,1.7553487368758625,-0.6323814653285644,-0.23958579513232403,1.6157740308893564,-0.4795583788986757,-0.26686284800038146,1.6219930328186183,-0.6027722663738588,-0.3469606355717026,1.6347101573309273,-0.5366090757280964,-0.35790890675863196,1.6383691876509041
9,-0.7063935537736654,-0.3022532996789614,0.983206877169878,-0.4395038501246758,-0.3238855923304498,0.9655529873921072,-0.613672144589538,-0.08906172341753464,1.0032505046376314,-0.48624489389065,-0.10164712598482144,0.9982863565810237,-0.5379485433154843,-0.14590588301928964,1.4881428611622272,-0.7250308380037389,-0.20247068626232953,1.4469435706528941,-0.3707289302462305,-0.23753639317790542,1.450603610001662,-0.838688600950663,-0.1955724667328312,1.1379144001352135,-0.2801281061363251,-0.24015424089334145,1.1255034965457569,-0.7663719524828394,-0.14472580486780834,1.1044302092428004,-0.3363896086249095,-0.1745101644495268,1.1030293782212155,-0.9016599074717081,-0.2598072421850304,0.9064928555044829,-0.27932709972523384,-0.32298630059236966,0.8961457712797517,-0.9051428125955086,-0.2228615850462063,0.8887997347747103,-0.26402430849051606,-0.2909385689980599,0.8816670726668391,-0.763003811246136,-0.20331346859571342,0.5277544143708557,-0.38538956735426805,-0.21056692211789943,0.5158402654883375,-0.6344572293962405,-0.21495701565442327,0.5094304706793721,-0.5099317911329484,-0.2061341933642119,0.5070239350380316,-0.7927534095105802,-0.15994732498053982,0.08644996731728269,-0.38676740157810613,-0.16188864546087273,0.07497377658238863,-0.733270987947586,-0.1892449272843883,0.07399685841033324,-0.45439356678602694,-0.1858755727303767,0.06970427170256019,-0.8681117179005012,-0.2990564604322612,0.034468943466840866,-0.3360983251307341,-0.3108192726896796,0.023314023582221576,-0.816229389417609,-0.37641138750614944,0.02562498012367468,-0.3966709214744443,-0.3731098983357976,0.025263513464125625,-0.7415432871739517,-0.10681455514482649,0.03228544074905446,-0.432250556719485,-0.1066760365048522,0.03775977842319388,-0.5745610080530242,-0.38436405428610076,1.5861819301281332,-0.5628478267270575,-0.2523151956629592,1.75544552755715,-0.6324701684579038,-0.2388553036611395,1.6158333005186196,-0.47976798386381087,-0.26657984254387257,1.6221338061302084,-0.602982975794086,-0.34634519896225796,1.6346999654158743,-0.5368791225761108,-0.35747429123955254,1.638432547355353
