arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
fastsam,1012,Lifting,0,7,1771,6,0.9963,8.444,6.796,29,48.89,88.85,15.379,3.01,3.42,279.1,ok
fastsam,1012,Polishing,0,7,1889,7,0.9692,9.644,6.997,29,139.92,107.08,21.122,2.66,3.38,297.2,ok
fastsam,1012,RobotPolishing,0,7,2795,6,0.9488,7.491,6.732,29,46.26,85.18,16.879,2.68,3.39,302.8,ok
fastsam,1012,RobotWelding,0,7,1976,5,0.9021,8.097,8.406,29,49.93,71.93,15.806,2.65,3.37,298.6,ok
fastsam,1012,Screwing,0,7,2808,8,0.8637,9.6,7.712,29,104.6,93.31,17.324,2.67,3.38,307.0,ok
fastsam,1012,SideOverhead,0,7,3992,6,0.9696,21.872,8.714,29,39.64,87.04,14.78,3.06,3.96,274.2,ok
fastsam,1118,Lifting,0,7,914,7,0.9754,9.5,8.0,29,104.82,161.37,13.271,3.01,3.76,248.6,ok
fastsam,1118,Polishing,0,7,2969,5,0.8466,9.9,8.323,29,133.81,185.31,22.771,2.95,3.31,298.9,ok
fastsam,1118,RobotPolishing,0,7,3057,7,0.9546,8.524,7.274,29,78.85,176.85,8.474,2.58,3.4,326.7,ok
fastsam,1118,RobotWelding,0,7,2114,8,0.9813,7.937,5.8,29,75.11,165.74,8.178,2.59,3.38,311.2,ok
fastsam,1118,Screwing,0,7,2491,6,0.883,8.849,6.989,29,99.05,140.24,10.073,2.59,3.17,318.3,ok
fastsam,1118,SideOverhead,0,7,2952,5,0.9398,9.605,8.257,29,70.47,137.15,7.971,2.87,3.34,302.6,ok
fastsam,1508,Lifting,0,7,1640,7,0.9929,9.546,8.507,29,61.99,116.06,8.506,2.92,3.53,279.0,ok
fastsam,1508,Polishing,0,7,2034,7,0.8424,10.118,10.133,29,118.91,109.98,18.569,2.94,3.4,287.4,ok
fastsam,1508,RobotPolishing,0,7,3128,8,0.9751,9.597,7.854,29,114.91,129.67,12.677,3.0,3.77,292.7,ok
fastsam,1508,RobotWelding,0,7,3025,7,0.9829,8.61,6.828,29,58.52,125.83,16.582,2.65,3.77,300.8,ok
fastsam,1508,Screwing,0,7,2352,7,0.8641,8.697,7.571,29,68.22,93.96,21.878,2.83,3.32,303.2,ok
fastsam,1508,SideOverhead,0,7,3063,7,0.8785,9.741,8.156,29,50.02,101.72,5.686,2.82,3.32,308.3,ok
fastsam,1602,Lifting,0,7,1410,7,0.975,9.346,7.16,29,84.44,100.38,16.278,2.86,3.54,278.0,ok
fastsam,1602,Polishing,0,7,1916,6,0.961,9.614,7.773,29,51.1,107.33,14.82,2.95,3.4,283.8,ok
fastsam,1602,RobotPolishing,0,7,3858,7,0.9666,8.673,6.192,29,61.65,111.39,9.22,2.95,3.25,302.0,ok
fastsam,1602,RobotWelding,0,7,2278,8,0.9699,7.052,4.847,29,43.18,113.07,4.293,2.7,3.1,308.9,ok
fastsam,1602,Screwing,0,7,2567,6,0.9755,7.598,5.384,29,68.08,84.33,10.584,2.64,3.16,314.0,ok
fastsam,1602,SideOverhead,0,7,3546,5,0.9748,10.497,6.356,29,46.93,77.51,9.104,3.15,3.69,284.8,ok
fastsam,1847,Lifting,0,7,1833,7,0.9881,8.458,7.814,29,116.3,116.92,13.638,2.85,3.52,288.6,ok
fastsam,1847,Polishing,0,7,2493,7,0.9782,9.189,6.776,29,184.68,124.68,25.668,2.64,3.13,312.2,ok
fastsam,1847,RobotPolishing,0,7,4096,6,0.9918,8.856,5.351,29,83.46,96.29,10.814,2.59,3.0,335.2,ok
fastsam,1847,RobotWelding,0,7,3716,6,0.9865,8.662,5.571,29,58.31,87.59,8.355,2.59,2.95,332.8,ok
fastsam,1847,Screwing,0,7,2388,8,0.925,8.453,7.851,29,49.02,77.37,13.117,2.88,3.06,298.3,ok
fastsam,1847,SideOverhead,0,7,3585,6,0.9686,14.729,8.424,29,61.29,87.38,11.521,2.95,3.32,306.0,ok
fastsam,2112,Lifting,0,7,1594,7,0.9987,8.712,6.634,29,88.55,110.92,12.199,2.95,3.69,278.0,ok
fastsam,2112,Polishing,0,7,1771,7,0.7609,10.908,8.469,29,65.15,136.02,24.355,2.67,3.38,295.1,ok
fastsam,2112,RobotPolishing,0,7,3094,7,0.9688,8.802,6.489,29,62.61,143.84,14.227,2.86,3.7,299.2,ok
fastsam,2112,RobotWelding,0,7,2341,6,0.892,8.111,6.692,29,56.13,139.79,9.095,2.88,3.32,299.3,ok
fastsam,2112,Screwing,0,7,2964,8,0.7688,10.042,7.473,29,47.23,129.83,17.749,2.65,3.17,317.0,ok
fastsam,2112,SideOverhead,0,7,2348,7,0.9695,8.139,7.478,29,52.32,103.8,5.876,3.04,3.78,273.5,ok
fastsam,2198,Lifting,0,7,1770,8,0.9978,11.104,7.038,29,97.19,135.66,10.192,2.99,3.11,291.9,ok
fastsam,2198,Polishing,0,7,1730,5,0.9604,10.749,6.499,29,56.44,100.28,13.226,3.0,3.37,282.2,ok
fastsam,2198,RobotPolishing,0,7,1797,7,0.9615,8.981,5.188,29,45.48,105.99,5.348,2.63,3.39,306.4,ok
fastsam,2198,RobotWelding,0,7,2444,8,0.8905,9.235,5.837,29,20.46,93.84,6.449,2.65,3.06,311.3,ok
fastsam,2198,Screwing,0,7,1914,7,0.8943,10.958,4.744,29,36.37,72.93,16.683,2.72,3.08,295.2,ok
fastsam,2198,SideOverhead,0,7,3534,7,0.9633,12.316,7.063,29,42.91,85.48,7.867,3.02,3.47,286.0,ok
fastsam,2307,Lifting,0,7,1507,7,0.9969,7.485,5.576,29,61.95,90.17,15.235,2.74,3.12,282.4,ok
fastsam,2307,Polishing,0,7,2324,7,0.9606,7.357,5.712,29,28.95,87.26,8.283,3.0,3.1,295.1,ok
fastsam,2307,RobotPolishing,0,7,3256,6,0.9874,9.523,4.896,29,42.22,109.64,4.563,3.01,3.38,288.8,ok
fastsam,2307,RobotWelding,0,7,2492,7,0.9658,7.199,6.233,29,24.23,97.89,5.993,2.65,3.07,306.3,ok
fastsam,2307,Screwing,0,7,2315,7,0.9518,6.931,5.72,29,23.91,77.97,5.567,2.67,3.38,300.0,ok
fastsam,2307,SideOverhead,0,7,2569,5,0.9394,9.156,7.989,29,26.07,86.2,7.136,3.01,3.1,295.8,ok
fastsam,3361,Lifting,0,7,720,7,0.9867,7.897,6.459,29,910.08,2647.33,28.625,3.01,3.44,241.1,ok
fastsam,3361,Polishing,0,7,1933,7,0.9289,8.79,7.583,29,1039.27,2631.35,25.053,3.51,3.83,248.0,ok
fastsam,3361,RobotPolishing,0,7,3117,6,0.9477,8.871,7.549,29,1144.66,2583.57,30.57,3.76,3.85,245.4,ok
fastsam,3361,RobotWelding,0,7,2575,7,0.9632,8.765,7.717,29,1101.38,2517.92,39.247,3.77,3.88,240.8,ok
fastsam,3361,Screwing,0,7,1887,6,0.7863,9.153,7.38,29,1075.41,2660.89,25.958,3.75,3.83,244.3,ok
fastsam,3361,SideOverhead,0,7,3063,6,0.945,8.882,7.972,29,970.59,2641.07,10.775,3.37,3.81,270.0,ok
fastsam,4162,Lifting,0,7,1835,8,0.9935,8.636,7.437,29,60.86,59.68,12.677,3.0,3.39,283.2,ok
fastsam,4162,Polishing,0,7,2483,7,0.9566,10.502,8.781,29,50.64,79.31,13.317,2.65,3.05,308.6,ok
fastsam,4162,RobotPolishing,0,7,2991,7,0.9344,9.291,7.294,29,79.41,62.06,12.441,2.66,3.38,309.8,ok
fastsam,4162,RobotWelding,0,7,2707,5,0.9616,8.111,6.611,29,30.3,64.56,7.318,2.64,3.04,322.6,ok
fastsam,4162,Screwing,0,7,3094,6,0.8901,9.287,9.133,29,114.02,103.11,17.537,3.01,3.14,296.9,ok
fastsam,4162,SideOverhead,0,7,3476,7,0.9583,8.645,6.792,29,40.31,65.3,11.169,3.0,3.16,303.7,ok
fastsam,4216,Lifting,0,7,976,6,0.9934,8.314,6.491,29,42.41,62.73,9.521,3.01,3.77,251.1,ok
fastsam,4216,Polishing,0,7,1839,6,0.9494,8.683,7.379,29,42.38,73.04,11.683,2.75,3.38,290.0,ok
fastsam,4216,RobotPolishing,0,7,2281,8,0.9548,9.845,7.753,29,45.22,69.42,7.567,3.01,3.4,281.0,ok
fastsam,4216,RobotWelding,0,7,2585,8,0.922,8.055,5.697,29,39.42,67.27,4.733,3.74,3.82,245.4,ok
fastsam,4216,Screwing,0,7,2170,8,0.9767,7.491,4.832,29,29.26,75.96,7.522,3.37,3.77,265.5,ok
fastsam,4216,SideOverhead,0,7,3098,6,0.9715,23.435,15.938,29,35.84,56.84,13.71,3.4,4.15,257.2,ok
fastsam,4279,Lifting,0,7,2009,6,0.9481,8.362,7.099,29,56.49,110.32,9.687,2.99,3.36,290.2,ok
fastsam,4279,Polishing,0,7,1747,5,0.9024,8.103,7.373,29,30.1,71.91,17.895,2.69,3.11,292.0,ok
fastsam,4279,RobotPolishing,0,7,2921,7,0.6453,8.084,6.79,29,70.42,117.64,9.91,2.65,3.74,305.5,ok
fastsam,4279,RobotWelding,0,7,2658,6,0.7885,7.092,6.325,29,86.5,115.96,8.396,2.64,3.37,311.3,ok
fastsam,4279,Screwing,0,7,2825,7,0.9234,7.62,5.962,29,33.96,69.0,10.029,3.0,3.4,295.2,ok
fastsam,4279,SideOverhead,0,7,2819,6,0.937,8.605,6.794,29,41.02,82.35,6.361,3.0,3.74,288.7,ok
fastsam,4509,Lifting,0,7,1330,7,0.9812,9.574,7.649,29,48.18,65.84,15.019,3.01,3.4,268.9,ok
fastsam,4509,Polishing,0,7,2125,8,0.9266,8.667,6.787,29,50.87,74.24,16.088,3.01,3.38,288.5,ok
fastsam,4509,RobotPolishing,0,7,2818,6,0.9385,8.626,5.397,29,40.59,53.95,12.365,3.02,3.8,279.7,ok
fastsam,4509,RobotWelding,0,7,2762,8,0.9542,8.428,6.838,29,38.35,54.8,11.283,2.67,3.43,305.6,ok
fastsam,4509,Screwing,0,7,2347,8,0.905,8.687,6.662,29,37.14,63.55,10.906,3.0,3.38,291.5,ok
fastsam,4509,SideOverhead,0,7,2036,5,0.9124,12.748,8.852,29,30.18,64.59,9.485,3.02,3.76,269.2,ok
fastsam,4612,Lifting,0,7,1898,7,0.9839,11.661,8.698,29,87.04,77.02,14.409,2.97,3.75,272.4,ok
fastsam,4612,Polishing,0,7,1905,6,0.9261,11.324,8.011,29,33.32,85.55,11.52,2.73,3.07,301.2,ok
fastsam,4612,RobotPolishing,0,7,2906,7,0.8732,11.221,7.474,29,29.27,64.48,8.043,2.84,3.28,306.2,ok
fastsam,4612,RobotWelding,0,7,2228,7,0.9237,11.643,7.253,29,35.87,76.55,11.006,2.67,3.33,303.3,ok
fastsam,4612,Screwing,0,7,2237,7,0.9353,10.599,7.152,29,37.14,58.3,8.044,2.59,3.49,314.3,ok
fastsam,4612,SideOverhead,0,7,2553,8,0.8679,11.185,7.245,29,44.96,113.29,11.002,2.84,3.31,303.1,ok
fastsam,4665,Lifting,0,7,1751,6,0.9896,8.677,7.099,29,68.09,114.45,8.436,2.82,3.27,289.8,ok
fastsam,4665,Polishing,0,7,3157,8,0.9226,11.091,10.336,29,70.26,109.61,10.179,2.66,3.07,316.9,ok
fastsam,4665,RobotPolishing,0,7,3628,5,0.8658,8.665,6.181,29,57.74,95.15,5.977,2.64,3.08,322.2,ok
fastsam,4665,RobotWelding,0,7,3237,6,0.9762,10.717,7.747,29,57.17,113.72,6.476,2.6,3.18,325.6,ok
fastsam,4665,Screwing,0,7,3374,7,0.9379,9.395,8.086,29,59.79,112.99,6.473,2.8,3.04,317.6,ok
fastsam,4665,SideOverhead,0,7,3199,7,0.9389,9.9,7.626,29,59.62,119.89,5.779,2.81,3.54,308.3,ok
fastsam,4687,Lifting,0,7,1571,8,0.9974,9.011,7.397,29,46.13,128.95,14.603,2.71,3.13,296.5,ok
fastsam,4687,Polishing,0,7,1524,6,0.8899,10.43,8.464,29,42.33,124.99,19.074,2.85,3.05,292.1,ok
fastsam,4687,RobotPolishing,0,7,2125,6,0.9245,8.62,5.263,29,37.33,123.87,16.167,2.53,2.96,328.5,ok
fastsam,4687,RobotWelding,0,7,1861,7,0.9271,8.528,5.343,29,34.75,126.35,12.924,2.58,2.85,322.5,ok
fastsam,4687,Screwing,0,7,1958,5,0.9446,8.269,5.581,29,46.14,105.75,14.495,2.65,3.04,306.0,ok
fastsam,4687,SideOverhead,0,7,1527,7,0.9677,11.155,9.128,29,51.06,118.85,13.098,2.93,3.23,290.4,ok
fastsam,4801,Lifting,0,7,1047,8,0.9803,10.224,7.81,29,94.21,99.79,11.238,2.97,3.77,255.8,ok
fastsam,4801,Polishing,0,7,3072,5,0.749,8.122,6.436,29,65.21,111.59,7.555,2.58,3.03,327.3,ok
