arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
mmpose,1012,Lifting,0-2-4-6,7,1771,5,0.9965,13.174,10.371,29,28.54,76.53,13.778,4.55,26.57,80.6,ok
mmpose,1012,Polishing,0-2-4-6,7,1889,6,0.9306,13.201,10.836,29,19.81,90.54,21.787,3.66,5.2,147.3,ok
mmpose,1012,RobotPolishing,0-2-4-6,7,2795,4,0.8913,10.799,11.207,29,120.28,87.43,37.245,4.0,25.35,83.1,ok
mmpose,1012,RobotWelding,0-2-4-6,7,1976,3,0.9053,11.448,10.57,29,136.52,86.37,34.7,4.5,5.25,125.0,ok
mmpose,1012,Screwing,0-2-4-6,7,2808,7,0.7847,14.249,10.382,29,31.59,97.79,19.903,3.64,26.75,82.7,ok
mmpose,1012,SideOverhead,0-2-4-6,7,3992,4,0.95,16.007,15.024,29,44.8,80.75,21.674,4.99,34.31,64.5,ok
mmpose,1118,Lifting,0-2-4-6,7,914,4,0.9898,11.825,10.605,29,67.65,88.14,14.819,4.64,7.01,102.0,ok
mmpose,1118,Polishing,0-2-4-6,7,2969,5,0.8101,10.552,9.351,29,89.98,102.38,13.169,4.26,11.4,108.9,ok
mmpose,1118,RobotPolishing,0-2-4-6,7,3057,5,0.8142,10.044,8.063,29,38.89,108.33,10.471,4.3,25.43,88.3,ok
mmpose,1118,RobotWelding,0-2-4-6,7,2114,4,0.832,10.367,8.486,29,43.44,107.14,11.831,4.17,23.11,86.3,ok
mmpose,1118,Screwing,0-2-4-6,7,2491,4,0.8951,11.538,7.288,29,129.42,120.17,11.768,3.98,26.45,86.8,ok
mmpose,1118,SideOverhead,0-2-4-6,7,2952,5,0.8775,14.437,12.975,29,33.77,81.12,12.645,4.2,26.49,88.3,ok
mmpose,1508,Lifting,0-2-4-6,7,1640,5,0.9961,11.95,9.994,29,73.3,69.79,13.873,4.83,5.61,125.4,ok
mmpose,1508,Polishing,0-2-4-6,7,2034,5,0.7746,11.311,10.431,29,118.87,73.08,18.092,4.43,25.98,77.4,ok
mmpose,1508,RobotPolishing,0-2-4-6,7,3128,4,0.9433,9.8,7.709,29,86.85,75.79,9.336,4.49,21.09,77.7,ok
mmpose,1508,RobotWelding,0-2-4-6,7,3025,3,0.9792,10.091,8.828,29,89.47,72.93,10.289,4.57,6.7,117.7,ok
mmpose,1508,Screwing,0-2-4-6,7,2352,7,0.8122,12.468,11.344,29,86.49,79.42,13.862,4.13,25.83,83.1,ok
mmpose,1508,SideOverhead,0-2-4-6,7,3063,5,0.8524,13.933,11.781,29,36.53,94.17,9.914,4.58,26.08,84.9,ok
mmpose,1602,Lifting,0-2-4-6,7,1410,5,0.9685,12.811,10.846,29,54.38,81.25,16.999,4.04,20.21,92.1,ok
mmpose,1602,Polishing,0-2-4-6,7,1916,6,0.9,16.487,14.221,29,55.91,88.05,19.297,4.25,5.8,139.8,ok
mmpose,1602,RobotPolishing,0-2-4-6,7,3858,4,0.7775,12.593,9.962,29,52.98,92.59,13.731,4.62,27.31,84.9,ok
mmpose,1602,RobotWelding,0-2-4-6,7,2278,5,0.8706,12.165,9.816,29,70.45,95.82,12.227,4.7,30.15,78.3,ok
mmpose,1602,Screwing,0-2-4-6,7,2567,6,0.9177,14.827,11.461,29,72.01,89.73,15.584,4.43,26.2,87.4,ok
mmpose,1602,SideOverhead,0-2-4-6,7,3546,6,0.9171,14.248,11.007,29,52.43,112.55,10.935,4.21,6.35,126.9,ok
mmpose,1847,Lifting,0-2-4-6,7,1833,5,0.9873,16.696,12.081,29,32.25,66.95,10.523,6.09,18.91,75.0,ok
mmpose,1847,Polishing,0-2-4-6,7,2493,4,0.9728,12.589,10.131,29,109.01,67.49,35.339,4.32,13.69,93.2,ok
mmpose,1847,RobotPolishing,0-2-4-6,7,4096,5,0.9905,10.856,10.101,29,104.34,62.55,30.291,3.77,23.87,87.2,ok
mmpose,1847,RobotWelding,0-2-4-6,7,3716,4,0.9788,11.078,9.268,29,100.78,65.87,27.471,4.28,12.0,106.5,ok
mmpose,1847,Screwing,0-2-4-6,7,2388,4,0.9203,13.736,11.356,29,95.27,66.5,32.18,5.29,34.3,65.9,ok
mmpose,1847,SideOverhead,0-2-4-6,7,3585,5,0.8742,18.261,11.775,29,22.5,67.63,10.561,4.73,32.75,68.9,ok
mmpose,2112,Lifting,0-2-4-6,7,1594,4,0.9961,15.836,8.886,29,65.79,69.46,12.746,4.69,28.03,73.1,ok
mmpose,2112,Polishing,0-2-4-6,7,1771,7,0.4449,13.113,9.586,29,47.8,62.85,8.74,4.24,26.53,78.0,ok
mmpose,2112,RobotPolishing,0-2-4-6,7,3094,7,0.7737,13.982,10.076,29,18.54,69.44,8.32,4.07,10.46,112.9,ok
mmpose,2112,RobotWelding,0-2-4-6,7,2341,9,0.5173,14.161,12.055,29,50.05,72.27,11.276,4.53,9.58,110.1,ok
mmpose,2112,Screwing,0-2-4-6,7,2964,10,0.4443,12.525,8.909,29,55.56,71.33,16.171,4.36,25.74,95.7,ok
mmpose,2112,SideOverhead,0-2-4-6,7,2348,7,0.8031,12.897,11.684,29,35.68,88.72,8.754,4.6,26.73,85.1,ok
mmpose,2198,Lifting,0-2-4-6,7,1770,5,0.9974,13.167,7.026,29,35.49,65.81,8.001,4.43,27.04,81.3,ok
mmpose,2198,Polishing,0-2-4-6,7,1730,4,0.9675,13.937,10.849,29,73.98,69.96,16.895,4.65,24.79,88.5,ok
mmpose,2198,RobotPolishing,0-2-4-6,7,1797,6,0.828,11.38,6.728,29,42.79,60.61,17.683,4.28,27.85,83.7,ok
mmpose,2198,RobotWelding,0-2-4-6,7,2444,4,0.7542,13.691,10.671,29,92.92,63.71,17.44,4.74,24.97,86.3,ok
mmpose,2198,Screwing,0-2-4-6,7,1914,5,0.9797,11.742,9.946,29,74.83,72.96,17.211,3.99,26.46,88.8,ok
mmpose,2198,SideOverhead,0-2-4-6,7,3534,5,0.9241,19.513,14.705,29,33.09,70.99,11.488,4.95,20.28,97.4,ok
mmpose,2307,Lifting,0-2-4-6,7,1507,5,0.994,11.876,9.81,29,73.11,63.98,18.461,6.21,19.55,78.7,ok
mmpose,2307,Polishing,0-2-4-6,7,2324,5,0.9571,12.737,11.928,29,57.95,74.46,12.798,4.11,10.01,106.8,ok
mmpose,2307,RobotPolishing,0-2-4-6,7,3256,6,0.97,13.801,11.015,29,62.48,71.94,12.72,5.4,18.68,96.8,ok
mmpose,2307,RobotWelding,0-2-4-6,7,2492,5,0.9387,11.422,9.419,29,49.02,77.2,14.36,4.43,28.85,67.6,ok
mmpose,2307,Screwing,0-2-4-6,7,2315,5,0.7963,11.977,8.859,29,34.11,78.75,11.645,4.47,9.62,113.5,ok
mmpose,2307,SideOverhead,0-2-4-6,7,2569,5,0.8614,18.92,11.768,29,35.31,73.04,12.582,3.92,15.34,112.1,ok
mmpose,4162,Lifting,0-2-4-6,7,1835,5,0.9959,9.938,9.756,29,40.71,50.41,9.854,4.56,26.34,79.9,ok
mmpose,4162,Polishing,0-2-4-6,7,2483,5,0.9368,10.467,8.528,29,23.34,44.94,10.481,3.89,25.38,82.3,ok
mmpose,4162,RobotPolishing,0-2-4-6,7,2991,5,0.8669,9.713,7.55,29,25.89,51.42,5.553,3.93,26.76,80.6,ok
mmpose,4162,RobotWelding,0-2-4-6,7,2707,5,0.9056,8.678,6.452,29,23.73,52.97,6.727,4.35,7.24,123.8,ok
mmpose,4162,Screwing,0-2-4-6,7,3094,5,0.789,11.496,8.262,29,47.17,48.38,12.994,3.79,19.32,101.9,ok
mmpose,4162,SideOverhead,0-2-4-6,7,3476,5,0.9005,22.835,13.885,29,35.56,56.97,16.276,4.64,26.92,86.3,ok
mmpose,4216,Lifting,0-2-4-6,7,976,4,0.9943,11.677,10.059,29,41.91,59.59,8.853,4.18,27.22,82.4,ok
mmpose,4216,Polishing,0-2-4-6,7,1839,5,0.8896,13.098,12.595,29,20.11,55.63,19.652,4.43,27.43,82.5,ok
mmpose,4216,RobotPolishing,0-2-4-6,7,2281,6,0.9012,10.722,8.256,29,26.99,59.15,8.643,4.7,21.42,88.9,ok
mmpose,4216,RobotWelding,0-2-4-6,7,2585,6,0.842,10.371,8.785,29,29.85,57.18,4.851,5.33,10.25,103.8,ok
mmpose,4216,Screwing,0-2-4-6,7,2170,6,0.954,11.632,7.098,29,33.65,56.53,7.537,5.68,31.31,65.1,ok
mmpose,4216,SideOverhead,0-2-4-6,7,3098,5,0.9343,23.31,16.847,29,32.9,69.27,15.985,6.52,34.82,66.8,ok
mmpose,4279,Lifting,0-2-4-6,7,2009,4,0.9631,11.064,9.669,29,30.68,71.78,8.097,5.0,27.51,64.6,ok
