arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
mmpose,1012,Lifting,0-2,7,1771,5,0.9931,12.791,11.41,29,24.95,93.5,11.273,4.35,25.11,86.6,ok
mmpose,1012,Polishing,0-2,7,1889,4,0.954,14.791,11.727,29,56.97,86.53,20.619,4.18,25.24,90.1,ok
mmpose,1012,RobotPolishing,0-2,7,2795,4,0.8992,12.375,9.1,29,39.71,81.8,15.354,4.56,5.64,129.6,ok
mmpose,1012,RobotWelding,0-2,7,1976,4,0.9372,12.948,11.193,29,130.54,80.54,19.585,4.12,27.25,70.9,ok
mmpose,1012,Screwing,0-2,7,2808,6,0.8648,15.846,12.198,29,113.72,82.71,22.448,3.78,22.45,81.9,ok
mmpose,1012,SideOverhead,0-2,7,3992,4,0.8741,15.585,13.492,29,51.0,93.36,15.115,4.9,26.34,83.2,ok
mmpose,1118,Lifting,0-2,7,914,4,0.9935,10.877,10.321,29,36.21,124.74,9.307,4.57,5.44,121.7,ok
mmpose,1118,Polishing,0-2,7,2969,5,0.9097,13.389,9.994,29,97.6,140.1,15.755,4.37,22.44,84.2,ok
mmpose,1118,RobotPolishing,0-2,7,3057,4,0.8856,12.025,8.841,29,25.22,121.21,7.413,4.41,25.51,81.4,ok
mmpose,1118,RobotWelding,0-2,7,2114,5,0.863,11.517,8.703,29,64.4,121.49,11.588,4.69,30.29,67.4,ok
mmpose,1118,Screwing,0-2,7,2491,4,0.6862,12.722,8.076,29,219.14,136.82,19.267,4.89,27.32,84.0,ok
mmpose,1118,SideOverhead,0-2,7,2952,5,0.8519,16.31,13.067,29,62.64,111.66,9.445,4.76,21.37,96.9,ok
mmpose,1508,Lifting,0-2,7,1640,5,0.9966,11.728,8.975,29,60.87,93.75,11.222,4.36,26.65,82.6,ok
mmpose,1508,Polishing,0-2,7,2034,5,0.7828,11.895,9.839,29,125.67,94.22,21.953,5.03,27.4,80.0,ok
mmpose,1508,RobotPolishing,0-2,7,3128,6,0.9674,11.388,8.683,29,46.53,86.38,22.048,4.36,27.27,83.5,ok
mmpose,1508,RobotWelding,0-2,7,3025,5,0.9814,9.785,8.021,29,41.17,84.47,20.223,4.44,26.35,86.4,ok
mmpose,1508,Screwing,0-2,7,2352,5,0.7636,11.96,9.682,29,146.4,92.18,27.387,4.58,7.07,112.5,ok
mmpose,1508,SideOverhead,0-2,7,3063,4,0.8402,15.891,12.749,29,47.39,99.5,9.832,5.09,26.34,81.6,ok
mmpose,1602,Lifting,0-2,7,1410,5,0.9764,11.778,10.436,29,52.6,80.53,10.344,4.45,26.91,71.2,ok
mmpose,1602,Polishing,0-2,7,1916,4,0.9386,16.199,11.86,29,35.45,91.86,18.729,4.4,27.29,79.0,ok
mmpose,1602,RobotPolishing,0-2,7,3858,6,0.883,13.76,10.476,29,41.01,85.26,15.538,4.56,13.74,102.2,ok
mmpose,1602,RobotWelding,0-2,7,2278,5,0.8652,12.798,9.344,29,67.29,83.69,13.886,4.23,19.94,93.4,ok
