arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf2d,1012,Lifting,0-2-4-6,7,1771,7,0.998,11.683,10.171,29,21.17,79.57,15.588,3.55,4.31,42.0,ok
nlf2d,1012,Polishing,0-2-4-6,7,1889,7,0.9559,12.805,10.294,29,45.28,91.85,20.79,3.87,4.12,40.9,ok
nlf2d,1012,RobotPolishing,0-2-4-6,7,2795,6,0.9471,11.469,8.976,29,98.49,81.74,24.968,3.53,4.26,41.8,ok
nlf2d,1012,RobotWelding,0-2-4-6,7,1976,6,0.9021,12.442,9.351,29,125.33,85.54,26.843,3.62,4.26,41.1,ok
nlf2d,1012,Screwing,0-2-4-6,7,2808,8,0.8474,14.664,11.423,29,30.39,95.58,20.506,3.46,3.93,42.4,ok
nlf2d,1012,SideOverhead,0-2-4-6,7,3992,6,0.9625,13.665,11.737,29,41.22,76.06,20.342,3.54,4.32,42.1,ok
nlf2d,1118,Lifting,0-2-4-6,7,914,6,0.9949,11.716,8.74,29,51.24,93.26,10.222,3.8,7.05,38.4,ok
nlf2d,1118,Polishing,0-2-4-6,7,2969,6,0.9304,11.596,5.917,29,47.14,106.51,7.933,3.64,5.39,40.9,ok
nlf2d,1118,RobotPolishing,0-2-4-6,7,3057,6,0.8517,11.044,6.283,29,58.21,105.49,15.195,3.29,6.37,41.1,ok
nlf2d,1118,RobotWelding,0-2-4-6,7,2114,6,0.9325,11.471,6.086,29,53.4,100.51,17.114,3.51,4.31,41.9,ok
nlf2d,1118,Screwing,0-2-4-6,7,375,4,0.6996,11.218,6.149,29,59.11,115.82,5.608,3.28,4.35,32.4,ok
nlf2d,1118,SideOverhead,0-2-4-6,7,2952,6,0.9525,11.791,7.576,29,30.89,75.28,8.224,3.53,4.26,42.1,ok
nlf2d,1508,Lifting,0-2-4-6,7,1640,7,0.9988,10.515,7.653,29,41.77,69.52,9.685,3.54,4.58,40.7,ok
nlf2d,1508,Polishing,0-2-4-6,7,2034,5,0.8921,10.727,7.607,29,37.47,79.63,9.864,4.29,4.45,41.1,ok
nlf2d,1508,RobotPolishing,0-2-4-6,7,3128,5,0.9754,9.551,5.015,29,39.78,77.1,7.922,4.27,4.55,40.8,ok
nlf2d,1508,RobotWelding,0-2-4-6,7,3025,5,0.993,9.263,5.651,29,50.93,74.38,7.215,3.57,4.37,41.6,ok
nlf2d,1508,Screwing,0-2-4-6,7,2352,6,0.9434,10.987,5.915,29,37.25,78.73,5.409,3.18,4.18,42.4,ok
nlf2d,1508,SideOverhead,0-2-4-6,7,3063,6,0.9495,11.398,8.673,29,34.35,91.44,6.878,3.65,4.34,41.9,ok
nlf2d,1602,Lifting,0-2-4-6,7,1410,6,0.9898,11.408,9.379,29,29.38,83.39,13.735,3.58,4.36,41.0,ok
nlf2d,1602,Polishing,0-2-4-6,7,1916,6,0.9476,12.522,7.692,29,12.91,88.55,10.17,3.67,4.31,41.7,ok
nlf2d,1602,RobotPolishing,0-2-4-6,7,3858,6,0.5848,12.079,8.614,29,64.47,90.64,21.94,4.28,4.7,41.0,ok
nlf2d,1602,RobotWelding,0-2-4-6,7,2278,7,0.8988,9.893,5.686,29,39.12,88.98,14.763,4.28,4.66,41.0,ok
nlf2d,1602,Screwing,0-2-4-6,7,2567,6,0.9511,11.83,6.321,29,23.69,90.81,12.665,3.17,3.92,42.6,ok
nlf2d,1602,SideOverhead,0-2-4-6,7,3546,7,0.9706,16.488,9.596,29,43.95,106.0,10.566,4.26,4.41,41.5,ok
nlf2d,1847,Lifting,0-2-4-6,7,1833,7,0.9972,9.735,6.927,29,29.82,66.14,8.648,3.52,4.3,41.8,ok
nlf2d,1847,Polishing,0-2-4-6,7,2493,6,0.9717,11.125,6.941,29,65.84,68.83,17.384,3.53,4.0,41.4,ok
nlf2d,1847,RobotPolishing,0-2-4-6,7,4096,6,0.9826,10.058,7.295,29,73.11,70.74,17.312,3.51,3.87,42.7,ok
nlf2d,1847,RobotWelding,0-2-4-6,7,3716,6,0.9596,9.213,6.101,29,64.89,69.28,17.802,3.51,3.9,42.1,ok
nlf2d,1847,Screwing,0-2-4-6,7,2388,6,0.9191,11.543,8.223,29,52.45,74.66,18.147,3.93,4.32,41.5,ok
nlf2d,1847,SideOverhead,0-2-4-6,7,3585,6,0.963,15.822,10.209,29,20.12,60.66,10.307,3.9,4.66,41.7,ok
nlf2d,2112,Lifting,0-2-4-6,7,1594,6,0.9989,11.303,8.41,29,36.04,68.95,13.003,3.88,4.64,40.2,ok
nlf2d,2112,Polishing,0-2-4-6,7,1771,7,0.6042,11.589,7.092,29,58.31,68.03,9.263,3.48,4.3,40.9,ok
nlf2d,2112,RobotPolishing,0-2-4-6,7,3094,6,0.8447,10.79,6.82,29,35.67,74.67,10.301,3.15,4.31,42.7,ok
nlf2d,2112,RobotWelding,0-2-4-6,7,2341,8,0.6051,11.657,7.915,29,34.15,71.17,12.794,3.15,4.29,42.2,ok
nlf2d,2112,Screwing,0-2-4-6,7,2964,8,0.5545,12.017,6.344,29,32.15,67.57,13.476,3.16,4.26,42.0,ok
nlf2d,2112,SideOverhead,0-2-4-6,7,2348,6,0.9153,11.808,9.426,29,32.45,78.73,9.37,3.86,4.31,41.5,ok
nlf2d,2198,Lifting,0-2-4-6,7,1770,7,0.9983,10.624,7.501,29,21.71,64.45,9.73,3.55,4.54,40.8,ok
nlf2d,2198,Polishing,0-2-4-6,7,1730,5,0.981,10.003,6.617,29,21.61,64.47,6.857,3.86,4.34,41.3,ok
nlf2d,2198,RobotPolishing,0-2-4-6,7,1797,6,0.814,11.27,7.903,29,30.62,63.48,5.258,3.88,4.34,41.6,ok
nlf2d,2198,RobotWelding,0-2-4-6,7,2444,6,0.7779,11.725,7.275,29,64.76,62.08,11.715,3.91,4.39,41.7,ok
nlf2d,2198,Screwing,0-2-4-6,7,1914,5,0.9827,9.315,5.724,29,11.68,67.61,7.862,3.15,4.29,42.6,ok
nlf2d,2198,SideOverhead,0-2-4-6,7,3534,6,0.9697,14.933,8.975,29,25.55,64.44,7.697,3.97,4.44,41.9,ok
nlf2d,2307,Lifting,0-2-4-6,7,1507,7,0.9958,9.755,7.682,29,43.21,65.65,10.221,3.53,4.3,40.9,ok
nlf2d,2307,Polishing,0-2-4-6,7,2324,6,0.9479,11.25,8.108,29,40.09,67.06,5.757,3.53,4.26,41.6,ok
nlf2d,2307,RobotPolishing,0-2-4-6,7,3256,6,0.9864,11.587,8.691,29,26.76,71.2,8.553,3.55,4.34,41.7,ok
nlf2d,2307,RobotWelding,0-2-4-6,7,2492,6,0.9365,9.264,6.41,29,34.47,71.78,8.038,3.63,4.43,41.5,ok
