arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf2d,1012,Lifting,0-2,7,1771,7,0.9953,13.397,10.687,29,32.0,89.66,10.98,3.8,4.32,54.5,ok
nlf2d,1012,Polishing,0-2,7,1889,6,0.9651,13.085,9.818,29,12.33,86.07,12.554,3.83,4.23,55.1,ok
nlf2d,1012,RobotPolishing,0-2,7,2795,6,0.9583,11.626,8.555,29,55.14,70.72,13.57,3.52,4.24,55.3,ok
nlf2d,1012,RobotWelding,0-2,7,1976,6,0.935,12.887,8.498,29,134.52,77.92,20.77,3.86,4.32,53.7,ok
nlf2d,1012,Screwing,0-2,7,2808,7,0.8604,13.727,9.997,29,28.81,79.5,11.0,3.85,4.38,54.0,ok
nlf2d,1012,SideOverhead,0-2,7,3992,7,0.8923,17.062,10.943,29,45.0,87.5,13.277,4.19,4.54,54.5,ok
nlf2d,1118,Lifting,0-2,7,914,6,0.9943,11.9,7.707,29,44.24,119.5,6.78,3.47,3.92,55.0,ok
nlf2d,1118,Polishing,0-2,7,2969,4,0.9283,13.701,8.049,29,66.27,144.25,4.591,3.93,4.57,53.8,ok
nlf2d,1118,RobotPolishing,0-2,7,3057,5,0.9132,15.684,9.955,29,39.06,132.98,11.449,3.89,4.35,55.2,ok
nlf2d,1118,RobotWelding,0-2,7,2114,6,0.8793,14.329,9.632,29,30.78,132.22,7.11,3.88,4.98,53.2,ok
nlf2d,1118,Screwing,0-2,7,375,0,0.6518,13.51,7.38,29,252.35,148.29,25.568,3.82,4.27,39.5,ok
nlf2d,1118,SideOverhead,0-2,7,2952,6,0.8799,15.843,11.543,29,64.31,106.33,7.204,3.76,4.55,54.2,ok
nlf2d,1508,Lifting,0-2,7,1640,7,0.9976,12.836,10.183,29,37.32,85.16,11.4,3.9,4.33,55.4,ok
nlf2d,1508,Polishing,0-2,7,2034,6,0.802,12.075,9.169,29,64.31,94.25,11.39,3.94,4.77,52.7,ok
nlf2d,1508,RobotPolishing,0-2,7,3128,7,0.97,13.76,7.833,29,46.68,82.71,9.639,3.54,4.18,55.8,ok
nlf2d,1508,RobotWelding,0-2,7,3025,6,0.9851,12.917,9.595,29,20.83,85.62,9.201,3.51,3.92,57.0,ok
nlf2d,1508,Screwing,0-2,7,2352,6,0.8988,13.96,9.013,29,43.38,89.36,8.971,3.44,3.88,58.1,ok
nlf2d,1508,SideOverhead,0-2,7,3063,6,0.8013,18.487,11.789,29,47.89,92.11,8.022,3.85,4.58,56.0,ok
nlf2d,1602,Lifting,0-2,7,1410,7,0.9812,11.313,9.022,29,50.4,70.74,6.163,3.51,4.04,56.0,ok
nlf2d,1602,Polishing,0-2,7,1916,6,0.6704,27.685,18.511,29,104.2,127.12,13.382,4.0,5.44,53.8,ok
nlf2d,1602,RobotPolishing,0-2,7,3858,7,0.8998,13.156,9.799,29,29.44,74.45,9.703,3.81,4.26,56.4,ok
nlf2d,1602,RobotWelding,0-2,7,2278,6,0.9296,11.049,7.937,29,43.13,73.59,7.665,3.82,4.32,55.2,ok
nlf2d,1602,Screwing,0-2,7,2567,7,0.9446,13.326,6.924,29,20.75,66.89,9.214,3.45,4.22,55.2,ok
nlf2d,1602,SideOverhead,0-2,7,3546,6,0.9049,18.92,11.658,29,40.54,87.9,11.635,4.19,4.58,54.9,ok
nlf2d,1847,Lifting,0-2,7,1833,7,0.9909,11.549,10.293,29,26.5,85.78,8.584,3.52,4.25,55.9,ok
nlf2d,1847,Polishing,0-2,7,2493,7,0.9644,11.901,8.283,29,36.27,75.06,6.193,3.49,5.1,53.6,ok
nlf2d,1847,RobotPolishing,0-2,7,4096,6,0.9801,10.553,6.604,29,63.21,77.9,6.352,3.49,4.24,55.4,ok
nlf2d,1847,RobotWelding,0-2,7,3716,5,0.9413,12.624,9.35,29,83.84,79.28,11.651,3.52,4.24,56.5,ok
nlf2d,1847,Screwing,0-2,7,2388,7,0.9235,11.027,6.473,29,58.97,79.12,5.752,4.22,4.38,54.4,ok
nlf2d,1847,SideOverhead,0-2,7,3585,6,0.8894,21.033,10.787,29,44.44,73.7,9.212,4.2,4.6,54.6,ok
nlf2d,2112,Lifting,0-2,7,1594,7,0.999,12.278,9.85,29,28.06,105.72,11.394,3.82,4.56,53.9,ok
nlf2d,2112,Polishing,0-2,7,1771,4,0.9095,11.519,6.642,29,39.58,109.9,6.696,4.21,4.41,53.2,ok
nlf2d,2112,RobotPolishing,0-2,7,3094,6,0.947,10.391,5.688,29,25.28,104.66,3.444,3.51,4.28,54.8,ok
nlf2d,2112,RobotWelding,0-2,7,2341,6,0.7988,12.151,7.118,29,50.72,111.45,7.71,3.54,4.26,54.8,ok
nlf2d,2112,Screwing,0-2,7,2964,6,0.8887,14.844,8.55,29,12.26,106.88,6.781,3.51,4.24,55.7,ok
nlf2d,2112,SideOverhead,0-2,7,2348,7,0.9355,12.163,8.474,29,48.58,115.21,7.232,4.16,4.35,55.2,ok
nlf2d,2198,Lifting,0-2,7,1770,7,0.995,12.46,9.605,29,55.9,136.84,12.996,3.51,4.24,55.8,ok
nlf2d,2198,Polishing,0-2,7,1730,2,0.7606,24.058,16.197,29,96.22,173.28,13.98,3.91,5.41,53.6,ok
nlf2d,2198,RobotPolishing,0-2,7,1797,6,0.8205,16.487,11.742,29,41.85,156.96,8.738,4.22,5.02,53.4,ok
nlf2d,2198,RobotWelding,0-2,7,2444,8,0.8368,15.187,9.72,29,64.15,122.65,6.535,3.85,4.56,55.2,ok
nlf2d,2198,Screwing,0-2,7,1914,6,0.956,11.255,9.629,29,50.54,118.39,5.921,3.5,4.24,54.8,ok
nlf2d,2198,SideOverhead,0-2,7,3534,7,0.945,22.818,12.954,29,48.56,130.72,9.316,4.22,4.63,54.5,ok
nlf2d,2307,Lifting,0-2,7,1507,7,0.9969,12.884,9.231,29,21.48,84.07,6.525,3.82,5.16,53.1,ok
nlf2d,2307,Polishing,0-2,7,2324,8,0.9104,25.248,16.987,29,38.42,115.94,8.443,4.24,5.02,53.5,ok
nlf2d,2307,RobotPolishing,0-2,7,3256,6,0.9723,13.644,9.153,29,40.24,92.27,6.469,3.58,4.02,55.7,ok
nlf2d,2307,RobotWelding,0-2,7,2492,7,0.9211,16.664,11.487,29,19.98,98.17,8.809,3.91,4.65,54.0,ok
nlf2d,2307,Screwing,0-2,7,2315,7,0.8386,13.068,8.061,29,22.32,100.45,6.342,3.9,4.32,54.3,ok
nlf2d,2307,SideOverhead,0-2,7,2569,5,0.8397,16.09,14.154,29,44.87,77.35,12.565,3.87,4.45,54.8,ok
nlf2d,3361,Lifting,0-2,7,720,7,0.9923,9.948,8.79,29,17.9,77.31,6.128,3.51,4.24,53.8,ok
nlf2d,3361,Polishing,0-2,7,1933,6,0.8074,20.342,17.991,29,56.04,128.59,15.552,3.87,5.37,53.3,ok
nlf2d,3361,RobotPolishing,0-2,7,3117,6,0.8953,22.083,18.847,29,67.53,137.26,13.072,4.23,5.34,53.6,ok
nlf2d,3361,RobotWelding,0-2,7,2575,6,0.9617,12.428,9.896,29,15.12,96.74,6.838,4.23,4.45,54.3,ok
nlf2d,3361,Screwing,0-2,7,1887,7,0.897,16.327,9.781,29,67.98,102.8,11.523,4.16,4.46,54.0,ok
nlf2d,3361,SideOverhead,0-2,7,3063,5,0.8939,14.428,10.318,29,36.36,80.05,8.585,4.19,4.68,52.8,ok
nlf2d,4162,Lifting,0-2,7,1835,7,0.9986,11.069,9.07,29,28.71,49.76,9.209,3.47,4.09,55.2,ok
nlf2d,4162,Polishing,0-2,7,2483,7,0.8979,13.75,9.119,29,21.6,61.41,10.4,3.47,4.17,56.0,ok
nlf2d,4162,RobotPolishing,0-2,7,2991,7,0.9005,11.952,8.228,29,19.27,54.69,8.269,3.84,4.29,55.9,ok
nlf2d,4162,RobotWelding,0-2,7,2707,4,0.9331,12.928,9.321,29,20.58,59.64,9.886,3.5,4.27,56.6,ok
nlf2d,4162,Screwing,0-2,7,3094,7,0.83,13.494,10.356,29,52.82,52.59,15.243,3.52,4.25,56.6,ok
nlf2d,4162,SideOverhead,0-2,7,3476,8,0.872,13.572,10.566,29,28.6,60.37,11.092,3.75,4.25,55.7,ok
nlf2d,4216,Lifting,0-2,7,976,7,0.9962,11.902,8.611,29,19.44,66.49,13.609,3.46,4.19,55.3,ok
nlf2d,4216,Polishing,0-2,7,1839,5,0.9218,12.394,10.257,29,21.9,67.02,13.617,3.53,4.24,54.8,ok
nlf2d,4216,RobotPolishing,0-2,7,2281,7,0.9132,11.97,9.348,29,15.13,55.42,7.837,3.57,4.21,55.3,ok
nlf2d,4216,RobotWelding,0-2,7,2585,8,0.8744,17.519,20.22,29,22.08,85.35,17.607,4.22,4.65,53.9,ok
