arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf,1012,Lifting,0-2-4-6,7,1771,7,0.9986,9.887,8.369,29,18.78,54.82,10.117,3.67,5.13,26.9,ok
nlf,1012,Polishing,0-2-4-6,7,1889,6,0.9822,11.108,7.694,29,34.46,59.78,13.194,3.23,4.32,32.9,ok
nlf,1012,RobotPolishing,0-2-4-6,7,2795,6,0.9741,8.523,6.788,29,50.8,54.15,12.831,3.58,4.54,30.8,ok
nlf,1012,RobotWelding,0-2-4-6,7,1976,6,0.9665,9.379,6.873,29,28.36,55.88,11.527,3.94,4.56,32.5,ok
nlf,1012,Screwing,0-2-4-6,7,2808,7,0.9555,12.46,8.945,29,18.87,62.82,11.784,3.24,4.25,32.6,ok
nlf,1012,SideOverhead,0-2-4-6,7,3992,6,0.9791,12.171,9.483,29,20.79,55.26,12.862,3.95,4.68,31.9,ok
nlf,1118,Lifting,0-2-4-6,7,914,6,0.9952,9.552,6.242,29,56.03,50.27,5.834,3.34,3.92,34.3,ok
nlf,1118,Polishing,0-2-4-6,7,2969,5,0.8856,11.791,5.281,29,45.03,63.77,9.114,4.28,4.8,30.7,ok
nlf,1118,RobotPolishing,0-2-4-6,7,3057,6,0.8502,10.17,4.667,29,31.75,58.45,4.992,3.23,3.95,33.4,ok
nlf,1118,RobotWelding,0-2-4-6,7,2114,7,0.9295,10.0,4.986,29,23.13,55.35,3.189,3.25,4.04,31.3,ok
nlf,1118,Screwing,0-2-4-6,7,375,4,0.6799,10.886,5.766,29,117.97,53.04,15.682,3.21,3.7,25.5,ok
nlf,1118,SideOverhead,0-2-4-6,7,2952,6,0.9111,11.291,6.372,29,28.87,52.76,5.047,3.57,4.41,31.6,ok
nlf,1508,Lifting,0-2-4-6,7,1640,6,0.9985,10.134,6.771,29,21.27,53.14,9.817,3.61,4.69,30.1,ok
nlf,1508,Polishing,0-2-4-6,7,2034,6,0.6662,11.318,7.527,29,102.91,61.95,17.433,3.96,4.53,32.8,ok
nlf,1508,RobotPolishing,0-2-4-6,7,3128,5,0.9617,9.595,7.138,29,183.02,55.83,22.767,4.04,4.96,30.7,ok
nlf,1508,RobotWelding,0-2-4-6,7,3025,6,0.9746,9.243,6.504,29,51.79,50.17,10.674,3.67,4.19,33.3,ok
nlf,1508,Screwing,0-2-4-6,7,2352,6,0.8359,9.548,5.312,29,45.2,50.77,9.824,3.29,4.41,32.4,ok
nlf,1508,SideOverhead,0-2-4-6,7,3063,6,0.9592,10.634,8.331,29,36.76,60.78,7.788,3.94,4.84,30.3,ok
nlf,1602,Lifting,0-2-4-6,7,1410,6,0.977,10.115,6.944,29,17.46,51.19,5.501,3.66,4.47,32.4,ok
nlf,1602,Polishing,0-2-4-6,7,1916,6,0.9598,13.031,7.27,29,28.58,67.63,13.43,3.91,5.04,29.0,ok
nlf,1602,RobotPolishing,0-2-4-6,7,3858,6,0.9152,10.075,6.02,29,17.34,50.6,7.732,3.68,4.49,31.5,ok
nlf,1602,RobotWelding,0-2-4-6,7,2278,7,0.9495,9.656,5.566,29,48.44,45.72,10.108,4.09,4.98,28.4,ok
nlf,1602,Screwing,0-2-4-6,7,2567,6,0.9739,10.975,4.564,29,70.03,52.58,10.46,3.58,4.75,30.7,ok
nlf,1602,SideOverhead,0-2-4-6,7,3546,7,0.9825,10.454,6.731,29,23.15,55.4,5.986,4.27,5.05,30.1,ok
nlf,1847,Lifting,0-2-4-6,7,1833,7,0.9914,9.249,7.172,29,16.88,51.2,6.221,3.56,4.39,30.1,ok
nlf,1847,Polishing,0-2-4-6,7,2493,6,0.964,12.291,7.301,29,67.48,57.99,10.357,3.52,4.53,30.1,ok
nlf,1847,RobotPolishing,0-2-4-6,7,4096,6,0.9652,9.232,5.776,29,74.47,53.43,6.715,3.64,4.52,31.9,ok
nlf,1847,RobotWelding,0-2-4-6,7,3716,6,0.9635,8.336,5.397,29,50.72,48.41,4.641,3.87,4.9,30.0,ok
