arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf,1012,Lifting,0-2,7,1771,7,0.9982,10.553,9.602,29,43.53,81.87,12.915,3.47,4.21,56.3,ok
nlf,1012,Polishing,0-2,7,1889,6,0.9579,11.895,7.247,29,38.68,93.85,13.539,3.14,4.25,56.2,ok
nlf,1012,RobotPolishing,0-2,7,2795,6,0.9504,9.421,7.583,29,53.52,99.04,14.533,3.68,4.23,55.8,ok
nlf,1012,RobotWelding,0-2,7,1976,6,0.9359,10.355,8.336,29,42.04,105.96,14.903,3.88,4.29,55.3,ok
nlf,1012,Screwing,0-2,7,2808,7,0.9097,12.627,9.035,29,68.53,113.38,8.466,3.86,4.43,54.7,ok
nlf,1012,SideOverhead,0-2,7,3992,6,0.9543,12.452,10.289,29,39.29,80.37,11.542,3.82,4.28,56.1,ok
nlf,1118,Lifting,0-2,7,914,6,0.9904,9.043,6.295,29,113.46,129.46,8.19,3.45,4.21,55.2,ok
nlf,1118,Polishing,0-2,7,2969,6,0.8718,10.919,5.697,29,115.89,177.15,17.759,3.88,4.32,55.5,ok
nlf,1118,RobotPolishing,0-2,7,3057,7,0.9149,9.577,5.161,29,71.65,116.04,5.506,3.1,3.83,57.7,ok
nlf,1118,RobotWelding,0-2,7,2114,7,0.9641,9.94,5.787,29,77.74,102.47,5.951,3.09,3.88,57.7,ok
nlf,1118,Screwing,0-2,7,375,3,0.6812,10.162,5.61,29,139.48,133.81,22.547,3.39,4.46,38.5,ok
nlf,1118,SideOverhead,0-2,7,2952,6,0.9104,11.317,6.987,29,71.9,99.95,5.851,3.52,4.28,56.4,ok
nlf,1508,Lifting,0-2,7,1640,7,0.9985,9.915,7.155,29,74.51,96.56,14.169,3.52,4.28,54.0,ok
nlf,1508,Polishing,0-2,7,2034,6,0.6538,9.62,7.141,29,202.28,181.6,33.493,3.52,4.24,56.1,ok
nlf,1508,RobotPolishing,0-2,7,3128,6,0.9615,10.138,6.901,29,336.8,101.26,40.564,3.85,4.3,55.9,ok
nlf,1508,RobotWelding,0-2,7,3025,6,0.9671,8.98,5.903,29,82.54,88.53,11.013,3.48,4.16,56.7,ok
nlf,1508,Screwing,0-2,7,2352,5,0.8131,9.54,5.471,29,118.4,118.48,17.867,3.12,3.93,57.0,ok
nlf,1508,SideOverhead,0-2,7,3063,6,0.8984,10.66,7.816,29,46.07,94.51,8.505,3.52,4.23,56.6,ok
nlf,1602,Lifting,0-2,7,1410,7,0.9751,9.819,6.626,29,101.53,129.09,11.732,3.49,4.23,56.2,ok
nlf,1602,Polishing,0-2,7,1916,6,0.9702,12.683,7.581,29,72.36,155.63,8.815,3.84,4.34,54.3,ok
nlf,1602,RobotPolishing,0-2,7,3858,7,0.9265,10.42,7.397,29,125.03,121.88,9.281,3.55,4.34,55.3,ok
nlf,1602,RobotWelding,0-2,7,2278,6,0.9556,9.78,6.661,29,101.46,100.03,17.781,3.91,4.34,55.0,ok
nlf,1602,Screwing,0-2,7,2567,6,0.9514,10.886,5.383,29,57.43,155.09,8.499,3.15,4.24,55.8,ok
nlf,1602,SideOverhead,0-2,7,3546,6,0.9779,15.018,8.695,29,57.55,110.47,8.994,3.9,4.4,55.2,ok
nlf,1847,Lifting,0-2,7,1833,7,0.9919,8.411,7.069,29,76.75,143.27,6.396,3.42,3.87,56.4,ok
nlf,1847,Polishing,0-2,7,2493,7,0.9623,10.076,8.199,29,155.05,168.77,11.401,3.46,3.91,57.7,ok
nlf,1847,RobotPolishing,0-2,7,4096,6,0.9248,8.845,5.493,29,150.54,137.78,7.064,3.88,4.32,56.3,ok
nlf,1847,RobotWelding,0-2,7,3716,5,0.9338,7.462,5.68,29,129.67,146.25,5.572,3.89,4.35,55.9,ok
