arm,participant,task,cameras,n_horizon,frames,lag,sync_r,joint_rmse_mean,joint_rmse_median,scored_dof,freeflyer_mm,marker_mm,root_orientation_deg,ik_ms_median,ik_ms_p95,fps,status
nlf,1012,Lifting,0,7,1771,6,0.9974,10.802,9.569,29,70.98,101.13,16.768,3.37,4.07,71.0,ok
nlf,1012,Polishing,0,7,1889,6,0.9228,12.196,8.49,29,85.66,104.68,18.212,3.31,4.08,71.3,ok
nlf,1012,RobotPolishing,0,7,2795,5,0.9114,10.047,8.796,29,73.6,105.16,15.05,3.66,4.06,71.0,ok
nlf,1012,RobotWelding,0,7,1976,5,0.9219,10.832,8.75,29,66.12,113.07,15.838,3.72,4.19,69.4,ok
nlf,1012,Screwing,0,7,2808,7,0.8861,12.669,8.858,29,127.1,126.48,12.546,3.67,4.02,70.5,ok
nlf,1012,SideOverhead,0,7,3992,6,0.9511,12.787,9.939,29,42.73,88.25,10.669,3.71,4.21,70.5,ok
nlf,1118,Lifting,0,7,914,6,0.9856,9.536,6.52,29,112.57,136.5,9.184,3.32,3.94,69.5,ok
nlf,1118,Polishing,0,7,2969,7,0.885,11.154,6.024,29,126.23,183.66,18.585,3.39,4.02,71.2,ok
nlf,1118,RobotPolishing,0,7,3057,7,0.8287,10.295,5.861,29,99.74,159.84,6.467,2.98,3.69,73.4,ok
nlf,1118,RobotWelding,0,7,2114,8,0.9468,10.849,6.274,29,104.07,129.24,8.294,3.0,3.68,72.4,ok
nlf,1118,Screwing,0,7,375,2,0.6816,10.787,7.02,29,191.88,161.58,33.562,3.01,4.07,47.4,ok
nlf,1118,SideOverhead,0,7,2952,5,0.8994,11.725,8.124,29,95.62,113.91,6.552,3.35,4.1,71.3,ok
nlf,1508,Lifting,0,7,1640,7,0.9985,10.113,7.577,29,89.95,100.52,14.83,3.36,4.04,70.5,ok
nlf,1508,Polishing,0,7,2034,5,0.6862,10.249,7.785,29,219.15,198.23,41.408,3.66,4.14,69.5,ok
nlf,1508,RobotPolishing,0,7,3128,7,0.946,10.548,7.385,29,538.0,129.74,70.056,3.76,4.24,69.6,ok
nlf,1508,RobotWelding,0,7,3025,7,0.9494,9.231,6.327,29,143.56,113.66,26.892,3.38,4.1,70.8,ok
nlf,1508,Screwing,0,7,2352,6,0.7885,9.913,6.793,29,112.82,118.55,19.024,2.98,3.65,72.8,ok
nlf,1508,SideOverhead,0,7,3063,6,0.8911,10.978,7.613,29,48.52,98.64,8.169,3.63,4.11,70.8,ok
nlf,1602,Lifting,0,7,1410,7,0.9761,10.069,6.535,29,84.52,124.92,10.764,3.31,4.02,70.6,ok
nlf,1602,Polishing,0,7,1916,5,0.9247,13.544,8.176,29,76.74,191.68,15.588,3.37,3.82,70.6,ok
nlf,1602,RobotPolishing,0,7,3858,6,0.8634,10.684,8.263,29,85.09,132.94,6.774,3.64,4.14,70.6,ok
nlf,1602,RobotWelding,0,7,2278,7,0.9564,9.82,6.592,29,430.8,113.44,62.022,3.68,4.13,69.8,ok
nlf,1602,Screwing,0,7,2567,5,0.891,11.412,5.465,29,89.74,186.16,21.318,2.97,3.68,73.0,ok
nlf,1602,SideOverhead,0,7,3546,5,0.9765,15.33,8.542,29,43.88,119.09,10.046,3.75,4.17,70.2,ok
